	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	bert-base-cased	1	1	1	abandon	subj_rel	unexpected	The senator that slumps the consultant abandon	1.9297266007356484e-09	1.9297266007356484e-09	28.948955535888672	28.948955535888672
1	bert-base-cased	2	1	1	abandon	subj_rel	expected	The senator that slumps the consultant abandons	0.0008954927986905783	0.0008954927986905783	13.651741504669191	13.651741504669191
2	bert-base-cased	3	2	1	abate	subj_rel	unexpected	The senator that slumps the consultant abate	1.0755105876114612e-05	1.0755105876114612e-05	18.0985746383667	18.0985746383667
3	bert-base-cased	4	2	1	abate	subj_rel	expected	The senator that slumps the consultant abates	0.00019527164113236663	0.00019527164113236663	12.344928105672201	12.344928105672201
4	bert-base-cased	5	3	1	abide	subj_rel	unexpected	The senator that slumps the consultant abide	1.0477725052027154e-05	1.0477725052027154e-05	19.864736557006836	19.864736557006836
5	bert-base-cased	6	3	1	abide	subj_rel	expected	The senator that slumps the consultant abides	0.0008401191383502657	0.0008401191383502657	11.887102762858072	11.887102762858072
6	bert-base-cased	7	4	1	abolish	subj_rel	unexpected	The senator that slumps the consultant abolish	0.0001588397529606463	0.0001588397529606463	13.446226119995117	13.446226119995117
7	bert-base-cased	8	4	1	abolish	subj_rel	expected	The senator that slumps the consultant abolishes	0.0003658789410109796	0.0003658789410109796	12.798050244649252	12.798050244649252
8	bert-base-cased	9	5	1	absorb	subj_rel	unexpected	The senator that slumps the consultant absorb	1.0065801525627194e-09	1.0065801525627194e-09	29.887889862060547	29.887889862060547
9	bert-base-cased	10	5	1	absorb	subj_rel	expected	The senator that slumps the consultant absorbs	0.0013482071586849585	0.0013482071586849585	14.222039222717285	14.222039222717285
10	bert-base-cased	11	6	1	abuse	subj_rel	unexpected	The senator that slumps the consultant abuse	1.399789728573353e-09	1.399789728573353e-09	29.41214179992676	29.41214179992676
11	bert-base-cased	12	6	1	abuse	subj_rel	expected	The senator that slumps the consultant abuses	1.1290743895386868e-09	1.1290743895386868e-09	29.722211837768555	29.722211837768555
12	bert-base-cased	13	7	1	accede	subj_rel	unexpected	The senator that slumps the consultant accede	0.00014946758092542972	0.00014946758092542972	15.924389521280924	15.924389521280924
13	bert-base-cased	14	7	1	accede	subj_rel	expected	The senator that slumps the consultant accedes	0.0001991908543459231	0.0001991908543459231	13.49203109741211	13.49203109741211
14	bert-base-cased	15	8	1	accelerate	subj_rel	unexpected	The senator that slumps the consultant accelerate	5.1532500489059885e-11	5.1532500489059885e-11	34.17572784423828	34.17572784423828
15	bert-base-cased	16	8	1	accelerate	subj_rel	expected	The senator that slumps the consultant accelerates	6.223886856560057e-06	6.223886856560057e-06	18.63746166229248	18.63746166229248
16	bert-base-cased	17	9	1	accept	subj_rel	unexpected	The senator that slumps the consultant accept	9.773827081005493e-09	9.773827081005493e-09	26.608428955078125	26.608428955078125
17	bert-base-cased	18	9	1	accept	subj_rel	expected	The senator that slumps the consultant accepts	2.9478817609174257e-08	2.9478817609174257e-08	25.015745162963867	25.015745162963867
18	bert-base-cased	19	10	1	access	subj_rel	unexpected	The senator that slumps the consultant access	2.011695032777538e-09	2.011695032777538e-09	28.888940811157227	28.888940811157227
19	bert-base-cased	20	10	1	access	subj_rel	expected	The senator that slumps the consultant accesses	6.591028068214655e-06	6.591028068214655e-06	17.38015842437744	17.38015842437744
20	bert-base-cased	21	11	1	acclaim	subj_rel	unexpected	The senator that slumps the consultant acclaim	1.0051988130754808e-09	1.0051988130754808e-09	29.88987159729004	29.88987159729004
21	bert-base-cased	22	11	1	acclaim	subj_rel	expected	The senator that slumps the consultant acclaims	2.5720726625877433e-05	2.5720726625877433e-05	15.504923820495605	15.504923820495605
22	bert-base-cased	23	12	1	accommodate	subj_rel	unexpected	The senator that slumps the consultant accommodate	1.1507133024224456e-09	1.1507133024224456e-09	29.69482421875	29.69482421875
23	bert-base-cased	24	12	1	accommodate	subj_rel	expected	The senator that slumps the consultant accommodates	0.004515377751928877	0.004515377751928877	14.09019422531128	14.09019422531128
24	bert-base-cased	25	13	1	accomodate	subj_rel	unexpected	The senator that slumps the consultant accomodate	0.0002088453372532527	0.0002088453372532527	15.715478658676147	15.715478658676147
25	bert-base-cased	26	13	1	accomodate	subj_rel	expected	The senator that slumps the consultant accomodates	0.00020883935633926641	0.00020883935633926641	16.05212426185608	16.05212426185608
26	bert-base-cased	27	14	1	accompany	subj_rel	unexpected	The senator that slumps the consultant accompany	1.0946934470013048e-09	1.0946934470013048e-09	29.766826629638672	29.766826629638672
27	bert-base-cased	28	14	1	accompany	subj_rel	expected	The senator that slumps the consultant accompanies	0.0027474752569105	0.0027474752569105	9.590972423553467	9.590972423553467
28	bert-base-cased	29	15	1	accomplish	subj_rel	unexpected	The senator that slumps the consultant accomplish	3.7367811622779357e-10	3.7367811622779357e-10	31.31748390197754	31.31748390197754
29	bert-base-cased	30	15	1	accomplish	subj_rel	expected	The senator that slumps the consultant accomplishes	0.0005661998494019534	0.0005661998494019534	14.812500953674316	14.812500953674316
30	bert-base-cased	31	16	1	accord	subj_rel	unexpected	The senator that slumps the consultant accord	1.6835155491889964e-10	1.6835155491889964e-10	32.467803955078125	32.467803955078125
31	bert-base-cased	32	16	1	accord	subj_rel	expected	The senator that slumps the consultant accords	3.271498547974261e-05	3.271498547974261e-05	17.219664573669434	17.219664573669434
32	bert-base-cased	33	17	1	account	subj_rel	unexpected	The senator that slumps the consultant account	9.4996615018772e-09	9.4996615018772e-09	26.649477005004883	26.649477005004883
33	bert-base-cased	34	17	1	account	subj_rel	expected	The senator that slumps the consultant accounts	1.3682278421356386e-08	1.3682278421356386e-08	26.12311553955078	26.12311553955078
34	bert-base-cased	35	18	1	accrue	subj_rel	unexpected	The senator that slumps the consultant accrue	0.00014952062808024666	0.00014952062808024666	15.411274592081705	15.411274592081705
35	bert-base-cased	36	18	1	accrue	subj_rel	expected	The senator that slumps the consultant accrues	0.0003161864515277	0.0003161864515277	11.876219511032104	11.876219511032104
36	bert-base-cased	37	19	1	accuse	subj_rel	unexpected	The senator that slumps the consultant accuse	0.0001504400257392886	0.0001504400257392886	14.201726913452148	14.201726913452148
37	bert-base-cased	38	19	1	accuse	subj_rel	expected	The senator that slumps the consultant accuses	0.0001531839901265526	0.0001531839901265526	13.566965738932291	13.566965738932291
38	bert-base-cased	39	20	1	achieve	subj_rel	unexpected	The senator that slumps the consultant achieve	1.422335027534416e-09	1.422335027534416e-09	29.38909149169922	29.38909149169922
39	bert-base-cased	40	20	1	achieve	subj_rel	expected	The senator that slumps the consultant achieves	0.000236451385291032	0.000236451385291032	15.71485185623169	15.71485185623169
40	bert-base-cased	41	21	1	acknowledge	subj_rel	unexpected	The senator that slumps the consultant acknowledge	1.6931578361578659e-09	1.6931578361578659e-09	29.137636184692383	29.137636184692383
41	bert-base-cased	42	21	1	acknowledge	subj_rel	expected	The senator that slumps the consultant acknowledges	0.0006753010621877886	0.0006753010621877886	14.407881259918213	14.407881259918213
42	bert-base-cased	43	22	1	acquire	subj_rel	unexpected	The senator that slumps the consultant acquire	1.3203641513470643e-09	1.3203641513470643e-09	29.496416091918945	29.496416091918945
43	bert-base-cased	44	22	1	acquire	subj_rel	expected	The senator that slumps the consultant acquires	0.0004086969625092123	0.0004086969625092123	15.942628860473631	15.942628860473631
44	bert-base-cased	45	23	1	acquit	subj_rel	unexpected	The senator that slumps the consultant acquit	0.00499437793041575	0.00499437793041575	9.623718023300171	9.623718023300171
45	bert-base-cased	46	23	1	acquit	subj_rel	expected	The senator that slumps the consultant acquits	0.00509693892672655	0.00509693892672655	9.407788515090942	9.407788515090942
46	bert-base-cased	47	24	1	act	subj_rel	unexpected	The senator that slumps the consultant act	6.963436050000382e-09	6.963436050000382e-09	27.097553253173828	27.097553253173828
47	bert-base-cased	48	24	1	act	subj_rel	expected	The senator that slumps the consultant acts	1.437299523843194e-08	1.437299523843194e-08	26.052064895629883	26.052064895629883
48	bert-base-cased	49	25	1	adapt	subj_rel	unexpected	The senator that slumps the consultant adapt	7.398435336591902e-11	7.398435336591902e-11	33.653987884521484	33.653987884521484
49	bert-base-cased	50	25	1	adapt	subj_rel	expected	The senator that slumps the consultant adapts	8.278617514174603e-05	8.278617514174603e-05	17.684473991394043	17.684473991394043
50	bert-base-cased	51	26	1	address	subj_rel	unexpected	The senator that slumps the consultant address	1.3386548536331586e-09	1.3386548536331586e-09	29.4765682220459	29.4765682220459
51	bert-base-cased	52	26	1	address	subj_rel	expected	The senator that slumps the consultant addresses	4.172675982516694e-09	4.172675982516694e-09	27.83638000488281	27.83638000488281
52	bert-base-cased	53	27	1	add	subj_rel	unexpected	The senator that slumps the consultant add	7.478460517518215e-09	7.478460517518215e-09	26.994611740112305	26.994611740112305
53	bert-base-cased	54	27	1	add	subj_rel	expected	The senator that slumps the consultant adds	2.869161086493932e-08	2.869161086493932e-08	25.05479621887207	25.05479621887207
54	bert-base-cased	55	28	1	adhere	subj_rel	unexpected	The senator that slumps the consultant adhere	5.227529705673328e-05	5.227529705673328e-05	20.97082948684692	20.97082948684692
55	bert-base-cased	56	28	1	adhere	subj_rel	expected	The senator that slumps the consultant adheres	0.0004308971062224334	0.0004308971062224334	11.77555020650228	11.77555020650228
56	bert-base-cased	57	29	1	adjust	subj_rel	unexpected	The senator that slumps the consultant adjust	1.0054552329608056e-10	1.0054552329608056e-10	33.21143341064453	33.21143341064453
57	bert-base-cased	58	29	1	adjust	subj_rel	expected	The senator that slumps the consultant adjusts	4.092901355079448e-05	4.092901355079448e-05	16.391788482666016	16.391788482666016
58	bert-base-cased	59	30	1	administer	subj_rel	unexpected	The senator that slumps the consultant administer	7.82098885654392e-10	7.82098885654392e-10	30.251930236816406	30.251930236816406
59	bert-base-cased	60	30	1	administer	subj_rel	expected	The senator that slumps the consultant administers	0.0004453685520502003	0.0004453685520502003	14.930140972137451	14.930140972137451
60	bert-base-cased	61	31	1	admit	subj_rel	unexpected	The senator that slumps the consultant admit	2.85512968822843e-09	2.85512968822843e-09	28.38379669189453	28.38379669189453
61	bert-base-cased	62	31	1	admit	subj_rel	expected	The senator that slumps the consultant admits	1.4588564134498938e-08	1.4588564134498938e-08	26.03058624267578	26.03058624267578
