	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	gpt2	1	1	1	abandon	sent_comp	unexpected	The farmer knows the customer abandon	5.132070768354424e-08	5.132070768354424e-08	24.215883255004883	24.215883255004883
1	gpt2	2	1	1	abandon	sent_comp	expected	The farmer knows the customer abandons	0.3531881978057451	0.3531881978057451	7.310665210398535	7.310665210398535
2	gpt2	3	2	1	abate	sent_comp	unexpected	The farmer knows the customer abate	0.0001307082684433917	0.0001307082684433917	14.92557144165039	14.92557144165039
3	gpt2	4	2	1	abate	sent_comp	expected	The farmer knows the customer abates	0.0011812956918219918	0.0011812956918219918	13.327668190002441	13.327668190002441
4	gpt2	5	3	1	abide	sent_comp	unexpected	The farmer knows the customer abide	6.606119740126816e-08	6.606119740126816e-08	23.851621627807617	23.851621627807617
5	gpt2	6	3	1	abide	sent_comp	expected	The farmer knows the customer abides	0.22093198596576258	0.22093198596576258	9.552905023097992	9.552905023097992
6	gpt2	7	4	1	abolish	sent_comp	unexpected	The farmer knows the customer abolish	1.88984050630836e-10	1.88984050630836e-10	32.30101776123047	32.30101776123047
7	gpt2	8	4	1	abolish	sent_comp	expected	The farmer knows the customer abolishes	0.43895957123097085	0.43895957123097085	13.883934259414673	13.883934259414673
8	gpt2	9	5	1	absorb	sent_comp	unexpected	The farmer knows the customer absorb	4.1278898521568415e-08	4.1278898521568415e-08	24.53001976013184	24.53001976013184
9	gpt2	10	5	1	absorb	sent_comp	expected	The farmer knows the customer absorbs	7.970724595907086e-07	7.970724595907086e-07	20.25878524780273	20.25878524780273
10	gpt2	11	6	1	abuse	sent_comp	unexpected	The farmer knows the customer abuse	1.9823085040115984e-06	1.9823085040115984e-06	18.94438743591309	18.94438743591309
11	gpt2	12	6	1	abuse	sent_comp	expected	The farmer knows the customer abuses	7.594469479954569e-07	7.594469479954569e-07	20.32854652404785	20.32854652404785
12	gpt2	13	7	1	accede	sent_comp	unexpected	The farmer knows the customer accede	0.00012950183111113368	0.00012950183111113368	15.254034519195557	15.254034519195557
13	gpt2	14	7	1	accede	sent_comp	expected	The farmer knows the customer accedes	0.0012170261044274838	0.0012170261044274838	13.631486892700195	13.631486892700195
14	gpt2	15	8	1	accelerate	sent_comp	unexpected	The farmer knows the customer accelerate	3.051118468988534e-09	3.051118468988534e-09	28.288015365600582	28.288015365600582
15	gpt2	16	8	1	accelerate	sent_comp	expected	The farmer knows the customer accelerates	0.49522199684708573	0.49522199684708573	11.575706378556788	11.575706378556788
16	gpt2	17	9	1	accept	sent_comp	unexpected	The farmer knows the customer accept	9.61229670792818e-06	9.61229670792818e-06	16.66668701171875	16.66668701171875
17	gpt2	18	9	1	accept	sent_comp	expected	The farmer knows the customer accepts	4.326674388721585e-05	4.326674388721585e-05	14.496381759643556	14.496381759643556
18	gpt2	19	10	1	access	sent_comp	unexpected	The farmer knows the customer access	1.6257648894679733e-05	1.6257648894679733e-05	15.90852165222168	15.90852165222168
19	gpt2	20	10	1	access	sent_comp	expected	The farmer knows the customer accesses	0.01076303260288114	0.01076303260288114	10.723691701889038	10.723691701889038
20	gpt2	21	11	1	acclaim	sent_comp	unexpected	The farmer knows the customer acclaim	6.812314836679434e-07	6.812314836679434e-07	20.4853515625	20.4853515625
21	gpt2	22	11	1	acclaim	sent_comp	expected	The farmer knows the customer acclaims	0.03946601015829283	0.03946601015829283	12.074304819107056	12.074304819107056
22	gpt2	23	12	1	accommodate	sent_comp	unexpected	The farmer knows the customer accommodate	1.2042759678365655e-08	1.2042759678365655e-08	26.30725860595703	26.30725860595703
23	gpt2	24	12	1	accommodate	sent_comp	expected	The farmer knows the customer accommodates	0.3425936824656901	0.3425936824656901	9.785866975784302	9.785866975784302
24	gpt2	25	13	1	accomodate	sent_comp	unexpected	The farmer knows the customer accomodate	0.2866636537733598	0.2866636537733598	6.602480214089155	6.602480214089155
25	gpt2	26	13	1	accomodate	sent_comp	expected	The farmer knows the customer accomodates	0.45016773555158807	0.45016773555158807	5.513535600155592	5.513535600155592
26	gpt2	27	14	1	accompany	sent_comp	unexpected	The farmer knows the customer accompany	9.055187710771406e-09	9.055187710771406e-09	26.71860885620117	26.71860885620117
