	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	bert-base-cased	1	1	1	abandon	simple	unexpected	The pilot abandon	1.5097025851673607e-08	1.5097025851673607e-08	25.98116111755371	25.98116111755371
1	bert-base-cased	2	1	1	abandon	simple	expected	The pilot abandons	0.0006992403173171211	0.0006992403173171211	13.903013706207275	13.903013706207275
2	bert-base-cased	3	2	1	abate	simple	unexpected	The pilot abate	1.374345760751794e-05	1.374345760751794e-05	18.66476011276245	18.66476011276245
3	bert-base-cased	4	2	1	abate	simple	expected	The pilot abates	0.0065445384922592	0.0065445384922592	9.890727519989014	9.890727519989014
4	bert-base-cased	5	3	1	abide	simple	unexpected	The pilot abide	1.3688292490598997e-05	1.3688292490598997e-05	19.193766117095947	19.193766117095947
5	bert-base-cased	6	3	1	abide	simple	expected	The pilot abides	0.0006950909725370671	0.0006950909725370671	11.615351359049479	11.615351359049479
6	bert-base-cased	7	4	1	abolish	simple	unexpected	The pilot abolish	0.0007936422886511128	0.0007936422886511128	12.047870635986328	12.047870635986328
7	bert-base-cased	8	4	1	abolish	simple	expected	The pilot abolishes	0.2653200813820149	0.2653200813820149	9.146950850884119	9.146950850884119
8	bert-base-cased	9	5	1	absorb	simple	unexpected	The pilot absorb	1.5871387759602843e-08	1.5871387759602843e-08	25.90899658203125	25.90899658203125
9	bert-base-cased	10	5	1	absorb	simple	expected	The pilot absorbs	0.0010246056217794793	0.0010246056217794793	15.590264320373537	15.590264320373537
10	bert-base-cased	11	6	1	abuse	simple	unexpected	The pilot abuse	2.4660229414052992e-08	2.4660229414052992e-08	25.273239135742188	25.273239135742188
11	bert-base-cased	12	6	1	abuse	simple	expected	The pilot abuses	1.9082463609265687e-08	1.9082463609265687e-08	25.643177032470703	25.643177032470703
12	bert-base-cased	13	7	1	accede	simple	unexpected	The pilot accede	0.0008518515615112925	0.0008518515615112925	13.367962201436361	13.367962201436361
13	bert-base-cased	14	7	1	accede	simple	expected	The pilot accedes	0.001403216279868475	0.001403216279868475	9.90997576713562	9.90997576713562
14	bert-base-cased	15	8	1	accelerate	simple	unexpected	The pilot accelerate	6.340422631367915e-10	6.340422631367915e-10	30.554702758789062	30.554702758789062
15	bert-base-cased	16	8	1	accelerate	simple	expected	The pilot accelerates	1.3476064822270928e-05	1.3476064822270928e-05	17.73316240310669	17.73316240310669
16	bert-base-cased	17	9	1	accept	simple	unexpected	The pilot accept	1.3053897873760434e-07	1.3053897873760434e-07	22.869016647338867	22.869016647338867
17	bert-base-cased	18	9	1	accept	simple	expected	The pilot accepts	1.1984512866547448e-06	1.1984512866547448e-06	19.67039680480957	19.67039680480957
18	bert-base-cased	19	10	1	access	simple	unexpected	The pilot access	4.916082119166276e-08	4.916082119166276e-08	24.277915954589844	24.277915954589844
19	bert-base-cased	20	10	1	access	simple	expected	The pilot accesses	0.00012198743866063925	0.00012198743866063925	15.778614521026611	15.778614521026611
20	bert-base-cased	21	11	1	acclaim	simple	unexpected	The pilot acclaim	1.50841312773764e-08	1.50841312773764e-08	25.982393264770508	25.982393264770508
21	bert-base-cased	22	11	1	acclaim	simple	expected	The pilot acclaims	0.00013499179937069252	0.00013499179937069252	15.543839931488037	15.543839931488037
22	bert-base-cased	23	12	1	accommodate	simple	unexpected	The pilot accommodate	6.857024459350215e-08	6.857024459350215e-08	23.79784202575684	23.79784202575684
23	bert-base-cased	24	12	1	accommodate	simple	expected	The pilot accommodates	0.003858460208249384	0.003858460208249384	13.969578981399536	13.969578981399536
24	bert-base-cased	25	13	1	accomodate	simple	unexpected	The pilot accomodate	0.0005557627644066024	0.0005557627644066024	12.885128736495972	12.885128736495972
25	bert-base-cased	26	13	1	accomodate	simple	expected	The pilot accomodates	0.0005538607715607149	0.0005538607715607149	13.26250433921814	13.26250433921814
26	bert-base-cased	27	14	1	accompany	simple	unexpected	The pilot accompany	1.593392511267666e-07	1.593392511267666e-07	22.58139419555664	22.58139419555664
27	bert-base-cased	28	14	1	accompany	simple	expected	The pilot accompanies	0.057701313920551854	0.057701313920551854	7.108114862442017	7.108114862442017
28	bert-base-cased	29	15	1	accomplish	simple	unexpected	The pilot accomplish	1.0184983523231494e-08	1.0184983523231494e-08	26.548980712890625	26.548980712890625
29	bert-base-cased	30	15	1	accomplish	simple	expected	The pilot accomplishes	0.00016815803058984683	0.00016815803058984683	16.698389053344727	16.698389053344727
30	bert-base-cased	31	16	1	accord	simple	unexpected	The pilot accord	1.659555159960746e-08	1.659555159960746e-08	25.844627380371094	25.844627380371094
31	bert-base-cased	32	16	1	accord	simple	expected	The pilot accords	0.0014451101722769719	0.0014451101722769719	15.411044120788574	15.411044120788574
32	bert-base-cased	33	17	1	account	simple	unexpected	The pilot account	9.865348147286568e-07	9.865348147286568e-07	19.95112609863281	19.95112609863281
33	bert-base-cased	34	17	1	account	simple	expected	The pilot accounts	1.3920719084126176e-06	1.3920719084126176e-06	19.454334259033203	19.454334259033203
34	bert-base-cased	35	18	1	accrue	simple	unexpected	The pilot accrue	0.00085158152833266	0.00085158152833266	14.565378506978353	14.565378506978353
35	bert-base-cased	36	18	1	accrue	simple	expected	The pilot accrues	0.0037409585274871997	0.0037409585274871997	9.243206977844238	9.243206977844238
36	bert-base-cased	37	19	1	accuse	simple	unexpected	The pilot accuse	0.00085318823903433	0.00085318823903433	12.544699668884277	12.544699668884277
37	bert-base-cased	38	19	1	accuse	simple	expected	The pilot accuses	0.0008516757655077605	0.0008516757655077605	13.805057207743326	13.805057207743326
38	bert-base-cased	39	20	1	achieve	simple	unexpected	The pilot achieve	2.732060622179233e-08	2.732060622179233e-08	25.12543487548828	25.12543487548828
39	bert-base-cased	40	20	1	achieve	simple	expected	The pilot achieves	0.0006051514169200374	0.0006051514169200374	15.830302238464357	15.830302238464357
40	bert-base-cased	41	21	1	acknowledge	simple	unexpected	The pilot acknowledge	2.5602409081670885e-08	2.5602409081670885e-08	25.219144821166992	25.219144821166992
41	bert-base-cased	42	21	1	acknowledge	simple	expected	The pilot acknowledges	0.004193573962595551	0.004193573962595551	13.226658821105955	13.226658821105955
42	bert-base-cased	43	22	1	acquire	simple	unexpected	The pilot acquire	1.8920822242307626e-08	1.8920822242307626e-08	25.65545082092285	25.65545082092285
43	bert-base-cased	44	22	1	acquire	simple	expected	The pilot acquires	0.004548713009492985	0.004548713009492985	15.542624950408936	15.542624950408936
44	bert-base-cased	45	23	1	acquit	simple	unexpected	The pilot acquit	0.03235631072311658	0.03235631072311658	7.524102866649628	7.524102866649628
45	bert-base-cased	46	23	1	acquit	simple	expected	The pilot acquits	0.0658094827958848	0.0658094827958848	7.2449599504470825	7.2449599504470825
46	bert-base-cased	47	24	1	act	simple	unexpected	The pilot act	2.080007703852971e-07	2.080007703852971e-07	22.19690704345703	22.19690704345703
47	bert-base-cased	48	24	1	act	simple	expected	The pilot acts	1.1351633020240115e-06	1.1351633020240115e-06	19.748668670654297	19.748668670654297
48	bert-base-cased	49	25	1	adapt	simple	unexpected	The pilot adapt	5.590904184060719e-09	5.590904184060719e-09	27.414270401000977	27.414270401000977
49	bert-base-cased	50	25	1	adapt	simple	expected	The pilot adapts	0.006107817751683331	0.006107817751683331	13.165225982666016	13.165225982666016
50	bert-base-cased	51	26	1	address	simple	unexpected	The pilot address	1.5073368331286474e-07	1.5073368331286474e-07	22.661495208740234	22.661495208740234
51	bert-base-cased	52	26	1	address	simple	expected	The pilot addresses	4.661536081584927e-07	4.661536081584927e-07	21.032691955566406	21.032691955566406
52	bert-base-cased	53	27	1	add	simple	unexpected	The pilot add	9.69925153526674e-08	9.69925153526674e-08	23.29755210876465	23.29755210876465
53	bert-base-cased	54	27	1	add	simple	expected	The pilot adds	8.217227787099546e-07	8.217227787099546e-07	20.214845657348636	20.214845657348636
54	bert-base-cased	55	28	1	adhere	simple	unexpected	The pilot adhere	3.883342031940629e-06	3.883342031940629e-06	18.648613929748535	18.648613929748535
55	bert-base-cased	56	28	1	adhere	simple	expected	The pilot adheres	0.002141677740534432	0.002141677740534432	11.417736689249674	11.417736689249674
56	bert-base-cased	57	29	1	adjust	simple	unexpected	The pilot adjust	3.414341476215554e-09	3.414341476215554e-09	28.12574577331543	28.12574577331543
57	bert-base-cased	58	29	1	adjust	simple	expected	The pilot adjusts	0.0005610050592394961	0.0005610050592394961	15.020680904388428	15.020680904388428
58	bert-base-cased	59	30	1	administer	simple	unexpected	The pilot administer	2.383586483745148e-08	2.383586483745148e-08	25.322290420532227	25.322290420532227
59	bert-base-cased	60	30	1	administer	simple	expected	The pilot administers	0.0022761334113851847	0.0022761334113851847	13.994733572006226	13.994733572006226
60	bert-base-cased	61	31	1	admit	simple	unexpected	The pilot admit	3.9431220955066244e-08	3.9431220955066244e-08	24.596086502075195	24.596086502075195
61	bert-base-cased	62	31	1	admit	simple	expected	The pilot admits	1.774176553226425e-06	1.774176553226425e-06	19.104419708251957	19.104419708251957
62	bert-base-cased	63	32	1	adopt	simple	unexpected	The pilot adopt	2.0436758063624442e-08	2.0436758063624442e-08	25.54425811767578	25.54425811767578
63	bert-base-cased	64	32	1	adopt	simple	expected	The pilot adopts	0.009678684858215525	0.009678684858215525	13.520931959152223	13.520931959152223
64	bert-base-cased	65	33	1	adorn	simple	unexpected	The pilot adorn	9.201640949640932e-06	9.201640949640932e-06	17.976380825042725	17.976380825042725
65	bert-base-cased	66	33	1	adorn	simple	expected	The pilot adorns	0.03543974911735857	0.03543974911735857	9.89557401339213	9.89557401339213
66	bert-base-cased	67	34	1	advance	simple	unexpected	The pilot advance	4.2727140936449366e-08	4.2727140936449366e-08	24.48027229309082	24.48027229309082
