token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.07198849320411682	3.7960898876190186
surgeon	1	surgeon	1	bert-base-cased	bert-base-cased	False	4.012992178559216e-07	21.248817443847656
that	1	that	2	bert-base-cased	bert-base-cased	False	0.01381448283791542	6.177674770355225
the	1	the	3	bert-base-cased	bert-base-cased	False	0.6128047704696655	0.7065005302429199
authors	1	authors	4	bert-base-cased	bert-base-cased	False	9.318695083493367e-05	13.389512062072754
damp	1	dampen	5	bert-base-cased	bert-base-cased	False	6.915934847029348e-08	23.785499572753906
##en	1	dampen	5	bert-base-cased	bert-base-cased	False	0.08828146755695343	3.5017457008361816
abandon	1	abandon	6	bert-base-cased	bert-base-cased	False	5.153844906402583e-09	27.53170394897461
The	2	The	0	bert-base-cased	bert-base-cased	False	0.5911869406700134	0.7583136558532715
surgeon	2	surgeon	1	bert-base-cased	bert-base-cased	False	4.058627496306144e-07	21.23250389099121
that	2	that	2	bert-base-cased	bert-base-cased	False	0.25313201546669006	1.982038140296936
the	2	the	3	bert-base-cased	bert-base-cased	False	0.8636163473129272	0.21153752505779266
authors	2	authors	4	bert-base-cased	bert-base-cased	False	9.028131171362475e-05	13.435213088989258
damp	2	dampen	5	bert-base-cased	bert-base-cased	False	2.9829831049710265e-08	24.998668670654297
##en	2	dampen	5	bert-base-cased	bert-base-cased	False	0.029702534899115562	5.073270320892334
abandon	2	abandons	6	bert-base-cased	bert-base-cased	False	1.2080092346877791e-05	16.33700942993164
##s	2	abandons	6	bert-base-cased	bert-base-cased	False	5.0232920330017805e-05	14.281006813049316
The	3	The	0	bert-base-cased	bert-base-cased	False	0.44213491678237915	1.1774414777755737
surgeon	3	surgeon	1	bert-base-cased	bert-base-cased	False	1.8397660994651233e-07	22.373973846435547
that	3	that	2	bert-base-cased	bert-base-cased	False	0.025708135217428207	5.281630992889404
the	3	the	3	bert-base-cased	bert-base-cased	False	0.6098159551620483	0.7135542035102844
authors	3	authors	4	bert-base-cased	bert-base-cased	False	7.2453600296285e-05	13.752582550048828
damp	3	dampen	5	bert-base-cased	bert-base-cased	False	1.2052336728629598e-07	22.98418426513672
##en	3	dampen	5	bert-base-cased	bert-base-cased	False	0.0395953543484211	4.658524990081787
a	3	abate	6	bert-base-cased	bert-base-cased	False	0.0003711329773068428	11.39577579498291
##bate	3	abate	6	bert-base-cased	bert-base-cased	False	4.8504748519917484e-06	17.6534423828125
The	4	The	0	bert-base-cased	bert-base-cased	False	0.5600417256355286	0.8363937735557556
surgeon	4	surgeon	1	bert-base-cased	bert-base-cased	False	2.627613753247715e-07	21.859743118286133
that	4	that	2	bert-base-cased	bert-base-cased	False	0.037862442433834076	4.72308874130249
