token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġsenator	1	 senator	1	gpt2	gpt2	False	3.586583261494525e-05	14.767029762268066
Ġthat	1	 that	2	gpt2	gpt2	False	0.0012154467403888702	9.684297561645508
Ġsl	1	 slumps	3	gpt2	gpt2	False	9.811314521357417e-05	13.315194129943848
umps	1	 slumps	3	gpt2	gpt2	False	0.002462562872096896	8.665623664855957
Ġthe	1	 the	4	gpt2	gpt2	False	0.02190186083316803	5.512802600860596
Ġconsultant	1	 consultant	5	gpt2	gpt2	False	1.5301812936741044e-06	19.3178653717041
Ġabandon	1	 abandon	6	gpt2	gpt2	False	2.1487414869625354e-07	22.150005340576172
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġsenator	2	 senator	1	gpt2	gpt2	False	3.586583261494525e-05	14.767029762268066
Ġthat	2	 that	2	gpt2	gpt2	False	0.0012154467403888702	9.684297561645508
Ġsl	2	 slumps	3	gpt2	gpt2	False	9.811314521357417e-05	13.315194129943848
umps	2	 slumps	3	gpt2	gpt2	False	0.002462562872096896	8.665623664855957
Ġthe	2	 the	4	gpt2	gpt2	False	0.02190186083316803	5.512802600860596
Ġconsultant	2	 consultant	5	gpt2	gpt2	False	1.5301812936741044e-06	19.3178653717041
Ġab	2	 abandons	6	gpt2	gpt2	False	2.1267584088491276e-05	15.520984649658203
and	2	 abandons	6	gpt2	gpt2	False	0.2955937385559082	1.758312463760376
ons	2	 abandons	6	gpt2	gpt2	False	0.9982436895370483	0.002536061452701688
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġsenator	3	 senator	1	gpt2	gpt2	False	3.586583261494525e-05	14.767029762268066
Ġthat	3	 that	2	gpt2	gpt2	False	0.0012154467403888702	9.684297561645508
Ġsl	3	 slumps	3	gpt2	gpt2	False	9.811314521357417e-05	13.315194129943848
umps	3	 slumps	3	gpt2	gpt2	False	0.002462562872096896	8.665623664855957
Ġthe	3	 the	4	gpt2	gpt2	False	0.02190186083316803	5.512802600860596
Ġconsultant	3	 consultant	5	gpt2	gpt2	False	1.5301812936741044e-06	19.3178653717041
Ġab	3	 abate	6	gpt2	gpt2	False	2.1267584088491276e-05	15.520984649658203
