sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	simple	The pilot abandon	2
2	1	1	expected	abandon	simple	The pilot abandons	2
3	1	2	unexpected	abate	simple	The pilot abate	2
4	1	2	expected	abate	simple	The pilot abates	2
5	1	3	unexpected	abide	simple	The pilot abide	2
6	1	3	expected	abide	simple	The pilot abides	2
7	1	4	unexpected	abolish	simple	The pilot abolish	2
8	1	4	expected	abolish	simple	The pilot abolishes	2
9	1	5	unexpected	absorb	simple	The pilot absorb	2
10	1	5	expected	absorb	simple	The pilot absorbs	2
11	1	6	unexpected	abuse	simple	The pilot abuse	2
12	1	6	expected	abuse	simple	The pilot abuses	2
13	1	7	unexpected	accede	simple	The pilot accede	2
14	1	7	expected	accede	simple	The pilot accedes	2
15	1	8	unexpected	accelerate	simple	The pilot accelerate	2
16	1	8	expected	accelerate	simple	The pilot accelerates	2
17	1	9	unexpected	accept	simple	The pilot accept	2
18	1	9	expected	accept	simple	The pilot accepts	2
19	1	10	unexpected	access	simple	The pilot access	2
20	1	10	expected	access	simple	The pilot accesses	2
21	1	11	unexpected	acclaim	simple	The pilot acclaim	2
22	1	11	expected	acclaim	simple	The pilot acclaims	2
23	1	12	unexpected	accommodate	simple	The pilot accommodate	2
24	1	12	expected	accommodate	simple	The pilot accommodates	2
25	1	13	unexpected	accomodate	simple	The pilot accomodate	2
26	1	13	expected	accomodate	simple	The pilot accomodates	2
27	1	14	unexpected	accompany	simple	The pilot accompany	2
28	1	14	expected	accompany	simple	The pilot accompanies	2
29	1	15	unexpected	accomplish	simple	The pilot accomplish	2
30	1	15	expected	accomplish	simple	The pilot accomplishes	2
31	1	16	unexpected	accord	simple	The pilot accord	2
32	1	16	expected	accord	simple	The pilot accords	2
33	1	17	unexpected	account	simple	The pilot account	2
34	1	17	expected	account	simple	The pilot accounts	2
35	1	18	unexpected	accrue	simple	The pilot accrue	2
36	1	18	expected	accrue	simple	The pilot accrues	2
37	1	19	unexpected	accuse	simple	The pilot accuse	2
38	1	19	expected	accuse	simple	The pilot accuses	2
39	1	20	unexpected	achieve	simple	The pilot achieve	2
40	1	20	expected	achieve	simple	The pilot achieves	2
41	1	21	unexpected	acknowledge	simple	The pilot acknowledge	2
42	1	21	expected	acknowledge	simple	The pilot acknowledges	2
43	1	22	unexpected	acquire	simple	The pilot acquire	2
44	1	22	expected	acquire	simple	The pilot acquires	2
45	1	23	unexpected	acquit	simple	The pilot acquit	2
46	1	23	expected	acquit	simple	The pilot acquits	2
47	1	24	unexpected	act	simple	The pilot act	2
48	1	24	expected	act	simple	The pilot acts	2
49	1	25	unexpected	adapt	simple	The pilot adapt	2
50	1	25	expected	adapt	simple	The pilot adapts	2
51	1	26	unexpected	address	simple	The pilot address	2
52	1	26	expected	address	simple	The pilot addresses	2
53	1	27	unexpected	add	simple	The pilot add	2
54	1	27	expected	add	simple	The pilot adds	2
55	1	28	unexpected	adhere	simple	The pilot adhere	2
56	1	28	expected	adhere	simple	The pilot adheres	2
57	1	29	unexpected	adjust	simple	The pilot adjust	2
