token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġfarmer	1	 farmer	1	gpt2	gpt2	False	2.0478813894442283e-05	15.575508117675781
Ġknows	1	 knows	2	gpt2	gpt2	False	0.000695501163136214	10.489659309387207
Ġthe	1	 the	3	gpt2	gpt2	False	0.11877745389938354	3.073667049407959
Ġcustomer	1	 customer	4	gpt2	gpt2	False	0.0006004504393786192	10.701666831970215
Ġabandon	1	 abandon	5	gpt2	gpt2	False	5.132070768354424e-08	24.215883255004883
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġfarmer	2	 farmer	1	gpt2	gpt2	False	2.0478813894442283e-05	15.575508117675781
Ġknows	2	 knows	2	gpt2	gpt2	False	0.000695501163136214	10.489659309387207
Ġthe	2	 the	3	gpt2	gpt2	False	0.11877745389938354	3.073667049407959
Ġcustomer	2	 customer	4	gpt2	gpt2	False	0.0006004504393786192	10.701666831970215
Ġab	2	 abandons	5	gpt2	gpt2	False	4.011375494883396e-06	17.927471160888672
and	2	 abandons	5	gpt2	gpt2	False	0.0624871701002121	4.000296115875244
ons	2	 abandons	5	gpt2	gpt2	False	0.9970734119415283	0.0042283544316887856
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġfarmer	3	 farmer	1	gpt2	gpt2	False	2.0478813894442283e-05	15.575508117675781
Ġknows	3	 knows	2	gpt2	gpt2	False	0.000695501163136214	10.489659309387207
Ġthe	3	 the	3	gpt2	gpt2	False	0.11877745389938354	3.073667049407959
Ġcustomer	3	 customer	4	gpt2	gpt2	False	0.0006004504393786192	10.701666831970215
Ġab	3	 abate	5	gpt2	gpt2	False	4.011375494883396e-06	17.927471160888672
ate	3	 abate	5	gpt2	gpt2	False	0.0002574051613919437	11.92367172241211
The	4	The	0	gpt2	gpt2	False	1.0	0.0
Ġfarmer	4	 farmer	1	gpt2	gpt2	False	2.0478813894442283e-05	15.575508117675781
Ġknows	4	 knows	2	gpt2	gpt2	False	0.000695501163136214	10.489659309387207
Ġthe	4	 the	3	gpt2	gpt2	False	0.11877745389938354	3.073667049407959
Ġcustomer	4	 customer	4	gpt2	gpt2	False	0.0006004504393786192	10.701666831970215
