token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.0839475616812706	3.5743677616119385
officer	1	officer	1	bert-base-cased	bert-base-cased	False	0.00029781286139041185	11.713306427001953
the	1	the	2	bert-base-cased	bert-base-cased	False	0.025740113109350204	5.279837608337402
pilot	1	pilot	3	bert-base-cased	bert-base-cased	False	0.0004330138035584241	11.173299789428711
brave	1	braves	4	bert-base-cased	bert-base-cased	False	6.633339216932654e-05	13.879904747009277
##s	1	braves	4	bert-base-cased	bert-base-cased	False	0.009019538760185242	6.792730808258057
abandon	1	abandon	5	bert-base-cased	bert-base-cased	False	8.36918712110446e-09	26.832265853881836
The	2	The	0	bert-base-cased	bert-base-cased	False	0.620979368686676	0.6873827576637268
officer	2	officer	1	bert-base-cased	bert-base-cased	False	0.0008261376642622054	10.24133014678955
the	2	the	2	bert-base-cased	bert-base-cased	False	0.07984774559736252	3.646604537963867
pilot	2	pilot	3	bert-base-cased	bert-base-cased	False	0.00031244292040355504	11.644120216369629
brave	2	braves	4	bert-base-cased	bert-base-cased	False	4.0052538679447025e-05	14.607747077941895
##s	2	braves	4	bert-base-cased	bert-base-cased	False	0.001581421121954918	9.30456256866455
abandon	2	abandons	5	bert-base-cased	bert-base-cased	False	0.00012563962081912905	12.958420753479004
##s	2	abandons	5	bert-base-cased	bert-base-cased	False	7.85602314863354e-05	13.635841369628906
The	3	The	0	bert-base-cased	bert-base-cased	False	0.11603463441133499	3.107372522354126
officer	3	officer	1	bert-base-cased	bert-base-cased	False	8.130395144689828e-06	16.90824317932129
the	3	the	2	bert-base-cased	bert-base-cased	False	0.041481390595436096	4.5913920402526855
pilot	3	pilot	3	bert-base-cased	bert-base-cased	False	0.0008089527254924178	10.27165699005127
brave	3	braves	4	bert-base-cased	bert-base-cased	False	9.776974366104696e-06	16.642181396484375
##s	3	braves	4	bert-base-cased	bert-base-cased	False	0.0048531172797083855	7.686872482299805
a	3	abate	5	bert-base-cased	bert-base-cased	False	0.00017313053831458092	12.49585247039795
##bate	3	abate	5	bert-base-cased	bert-base-cased	False	1.7843967725639232e-06	19.096132278442383
The	4	The	0	bert-base-cased	bert-base-cased	False	0.5845971703529358	0.7744852304458618
officer	4	officer	1	bert-base-cased	bert-base-cased	False	2.349528131162515e-06	18.69919776916504
the	4	the	2	bert-base-cased	bert-base-cased	False	0.10848498344421387	3.204432725906372
pilot	4	pilot	3	bert-base-cased	bert-base-cased	False	9.403065632795915e-05	13.376509666442871
brave	4	braves	4	bert-base-cased	bert-base-cased	False	7.856739102862775e-06	16.957637786865234
##s	4	braves	4	bert-base-cased	bert-base-cased	False	0.0010030505945906043	9.961389541625977
a	4	abates	5	bert-base-cased	bert-base-cased	False	0.023837819695472717	5.390604019165039
##bate	4	abates	5	bert-base-cased	bert-base-cased	False	1.1863627150887623e-05	16.363094329833984
##s	4	abates	5	bert-base-cased	bert-base-cased	False	0.0001303074532188475	12.905793190002441
The	5	The	0	bert-base-cased	bert-base-cased	False	0.09814948588609695	3.3488755226135254
officer	5	officer	1	bert-base-cased	bert-base-cased	False	0.00016013071581255645	12.6084623336792
the	5	the	2	bert-base-cased	bert-base-cased	False	0.04493948444724083	4.47587251663208
pilot	5	pilot	3	bert-base-cased	bert-base-cased	False	0.0005996761610731483	10.70352840423584
brave	5	braves	4	bert-base-cased	bert-base-cased	False	1.4812177141720895e-05	16.042856216430664
##s	5	braves	4	bert-base-cased	bert-base-cased	False	0.014726969413459301	6.085395812988281
a	5	abide	5	bert-base-cased	bert-base-cased	False	0.00017313053831458092	12.49585247039795
##bide	5	abide	5	bert-base-cased	bert-base-cased	False	2.1570745047938544e-06	18.822492599487305
The	6	The	0	bert-base-cased	bert-base-cased	False	0.5922024250030518	0.7558376789093018
officer	6	officer	1	bert-base-cased	bert-base-cased	False	0.0005363062955439091	10.864655494689941
the	6	the	2	bert-base-cased	bert-base-cased	False	0.13628312945365906	2.87532114982605
pilot	6	pilot	3	bert-base-cased	bert-base-cased	False	2.299661900906358e-05	15.408218383789062
brave	6	braves	4	bert-base-cased	bert-base-cased	False	1.992685065488331e-05	15.6149263381958
##s	6	braves	4	bert-base-cased	bert-base-cased	False	0.001139939995482564	9.776825904846191
a	6	abides	5	bert-base-cased	bert-base-cased	False	0.023837819695472717	5.390604019165039
##bide	6	abides	5	bert-base-cased	bert-base-cased	False	5.320966738509014e-05	14.197952270507812
##s	6	abides	5	bert-base-cased	bert-base-cased	False	0.0001411646808264777	12.790332794189453
The	7	The	0	bert-base-cased	bert-base-cased	False	0.314373642206192	1.6694477796554565
officer	7	officer	1	bert-base-cased	bert-base-cased	False	3.1480289180763066e-05	14.955191612243652
the	7	the	2	bert-base-cased	bert-base-cased	False	0.03181162104010582	4.974302291870117
pilot	7	pilot	3	bert-base-cased	bert-base-cased	False	0.00011046211875509471	13.144160270690918
brave	7	braves	4	bert-base-cased	bert-base-cased	False	1.736415651976131e-05	15.813528060913086
##s	7	braves	4	bert-base-cased	bert-base-cased	False	0.011743441224098206	6.412001132965088
a	7	abolish	5	bert-base-cased	bert-base-cased	False	0.023837819695472717	5.390604019165039
##bol	7	abolish	5	bert-base-cased	bert-base-cased	False	5.727237351038639e-08	24.057584762573242
##ish	7	abolish	5	bert-base-cased	bert-base-cased	False	0.0020150153432041407	8.95499324798584
The	8	The	0	bert-base-cased	bert-base-cased	False	0.5544047355651855	0.8509884476661682
officer	8	officer	1	bert-base-cased	bert-base-cased	False	0.00014539703261107206	12.74771499633789
the	8	the	2	bert-base-cased	bert-base-cased	False	0.04753028601408005	4.3950090408325195
pilot	8	pilot	3	bert-base-cased	bert-base-cased	False	0.0005621591699309647	10.796733856201172
brave	8	braves	4	bert-base-cased	bert-base-cased	False	1.1216285201953724e-05	16.444046020507812
##s	8	braves	4	bert-base-cased	bert-base-cased	False	0.012148099020123482	6.363125324249268
a	8	abolishes	5	bert-base-cased	bert-base-cased	False	0.023837819695472717	5.390604019165039
##bol	8	abolishes	5	bert-base-cased	bert-base-cased	False	5.727237351038639e-08	24.057584762573242
##ishes	8	abolishes	5	bert-base-cased	bert-base-cased	False	0.05956949293613434	4.069282531738281
The	9	The	0	bert-base-cased	bert-base-cased	False	0.14042960107326508	2.832080841064453
officer	9	officer	1	bert-base-cased	bert-base-cased	False	0.0001195500444737263	13.030097961425781
the	9	the	2	bert-base-cased	bert-base-cased	False	0.039726316928863525	4.65376091003418
pilot	9	pilot	3	bert-base-cased	bert-base-cased	False	0.0025363147724419832	8.623050689697266
brave	9	braves	4	bert-base-cased	bert-base-cased	False	9.201674401992932e-05	13.407744407653809
##s	9	braves	4	bert-base-cased	bert-base-cased	False	0.01106191985309124	6.498254299163818
absorb	9	absorb	5	bert-base-cased	bert-base-cased	False	8.433005405095173e-10	30.143234252929688
The	10	The	0	bert-base-cased	bert-base-cased	False	0.6498216986656189	0.6218841671943665
officer	10	officer	1	bert-base-cased	bert-base-cased	False	2.0194822354824282e-05	15.59565544128418
the	10	the	2	bert-base-cased	bert-base-cased	False	0.1361779272556305	2.8764352798461914
pilot	10	pilot	3	bert-base-cased	bert-base-cased	False	0.0005874058697372675	10.733354568481445
brave	10	braves	4	bert-base-cased	bert-base-cased	False	5.5950975365703925e-05	14.125476837158203
##s	10	braves	4	bert-base-cased	bert-base-cased	False	0.0003209091373719275	11.605547904968262
absorb	10	absorbs	5	bert-base-cased	bert-base-cased	False	4.275584160495782e-06	17.835447311401367
##s	10	absorbs	5	bert-base-cased	bert-base-cased	False	8.522445568814874e-05	13.518372535705566
The	11	The	0	bert-base-cased	bert-base-cased	False	0.12164411693811417	3.03926157951355
officer	11	officer	1	bert-base-cased	bert-base-cased	False	0.00022951823484618217	12.089103698730469
the	11	the	2	bert-base-cased	bert-base-cased	False	0.054653964936733246	4.193530082702637
pilot	11	pilot	3	bert-base-cased	bert-base-cased	False	0.005988206714391708	7.383660316467285
brave	11	braves	4	bert-base-cased	bert-base-cased	False	2.0396717445692047e-05	15.581303596496582
##s	11	braves	4	bert-base-cased	bert-base-cased	False	0.3078065812587738	1.6999040842056274
abuse	11	abuse	5	bert-base-cased	bert-base-cased	False	1.8611278074232018e-09	29.001174926757812
The	12	The	0	bert-base-cased	bert-base-cased	False	0.16863954067230225	2.5679852962493896
officer	12	officer	1	bert-base-cased	bert-base-cased	False	0.00013744518219027668	12.828855514526367
the	12	the	2	bert-base-cased	bert-base-cased	False	0.041561201214790344	4.588618755340576
pilot	12	pilot	3	bert-base-cased	bert-base-cased	False	0.0033092747908085585	8.239269256591797
brave	12	braves	4	bert-base-cased	bert-base-cased	False	2.1674148229067214e-05	15.493664741516113
##s	12	braves	4	bert-base-cased	bert-base-cased	False	0.07783389091491699	3.683457612991333
abuses	12	abuses	5	bert-base-cased	bert-base-cased	False	1.2683179839712011e-08	26.232507705688477
The	13	The	0	bert-base-cased	bert-base-cased	False	0.5065798163414001	0.9811384677886963
officer	13	officer	1	bert-base-cased	bert-base-cased	False	0.00016397704894188792	12.57421875
