token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	1	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabandon	1	 abandon	2	gpt2	gpt2	False	9.947598300641403e-07	19.93914794921875
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	2	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġab	2	 abandons	2	gpt2	gpt2	False	1.2532280379673466e-05	16.28399085998535
and	2	 abandons	2	gpt2	gpt2	False	0.3585962653160095	1.4795676469802856
ons	2	 abandons	2	gpt2	gpt2	False	0.9968796968460083	0.0045086960308253765
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	3	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġab	3	 abate	2	gpt2	gpt2	False	1.2532280379673466e-05	16.28399085998535
ate	3	 abate	2	gpt2	gpt2	False	0.0004788009391631931	11.02828598022461
The	4	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	4	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġab	4	 abates	2	gpt2	gpt2	False	1.2532280379673466e-05	16.28399085998535
ates	4	 abates	2	gpt2	gpt2	False	0.0033757982309907675	8.210556030273438
The	5	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	5	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabide	5	 abide	2	gpt2	gpt2	False	2.986979907859677e-08	24.996736526489258
The	6	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	6	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġab	6	 abides	2	gpt2	gpt2	False	1.2532280379673466e-05	16.28399085998535
ides	6	 abides	2	gpt2	gpt2	False	0.04764765128493309	4.391450881958008
The	7	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	7	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabolish	7	 abolish	2	gpt2	gpt2	False	1.4126081637755306e-08	26.077062606811523
The	8	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	8	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabol	8	 abolishes	2	gpt2	gpt2	False	8.66609113359118e-08	23.46004295349121
ishes	8	 abolishes	2	gpt2	gpt2	False	0.7572152018547058	0.40122470259666443
The	9	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	9	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabsorb	9	 absorb	2	gpt2	gpt2	False	7.404418056466966e-08	23.68703842163086
The	10	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	10	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabsorbs	10	 absorbs	2	gpt2	gpt2	False	6.584850211766025e-07	20.534345626831055
The	11	The	0	gpt2	gpt2	False	1.0	0.0
Ġpilot	11	 pilot	1	gpt2	gpt2	False	5.999893255648203e-05	14.024703979492188
Ġabuse	11	 abuse	2	gpt2	gpt2	False	5.753388904849999e-06	17.407155990600586
The	12	The	0	gpt2	gpt2	False	1.0	0.0
