sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	obj_rel_no_that	The officer the pilot braves abandon	5
2	1	1	expected	abandon	obj_rel_no_that	The officer the pilot braves abandons	5
3	1	2	unexpected	abate	obj_rel_no_that	The officer the pilot braves abate	5
4	1	2	expected	abate	obj_rel_no_that	The officer the pilot braves abates	5
5	1	3	unexpected	abide	obj_rel_no_that	The officer the pilot braves abide	5
6	1	3	expected	abide	obj_rel_no_that	The officer the pilot braves abides	5
7	1	4	unexpected	abolish	obj_rel_no_that	The officer the pilot braves abolish	5
8	1	4	expected	abolish	obj_rel_no_that	The officer the pilot braves abolishes	5
9	1	5	unexpected	absorb	obj_rel_no_that	The officer the pilot braves absorb	5
10	1	5	expected	absorb	obj_rel_no_that	The officer the pilot braves absorbs	5
11	1	6	unexpected	abuse	obj_rel_no_that	The officer the pilot braves abuse	5
12	1	6	expected	abuse	obj_rel_no_that	The officer the pilot braves abuses	5
13	1	7	unexpected	accede	obj_rel_no_that	The officer the pilot braves accede	5
14	1	7	expected	accede	obj_rel_no_that	The officer the pilot braves accedes	5
15	1	8	unexpected	accelerate	obj_rel_no_that	The officer the pilot braves accelerate	5
16	1	8	expected	accelerate	obj_rel_no_that	The officer the pilot braves accelerates	5
17	1	9	unexpected	accept	obj_rel_no_that	The officer the pilot braves accept	5
18	1	9	expected	accept	obj_rel_no_that	The officer the pilot braves accepts	5
19	1	10	unexpected	access	obj_rel_no_that	The officer the pilot braves access	5
20	1	10	expected	access	obj_rel_no_that	The officer the pilot braves accesses	5
21	1	11	unexpected	acclaim	obj_rel_no_that	The officer the pilot braves acclaim	5
22	1	11	expected	acclaim	obj_rel_no_that	The officer the pilot braves acclaims	5
23	1	12	unexpected	accommodate	obj_rel_no_that	The officer the pilot braves accommodate	5
24	1	12	expected	accommodate	obj_rel_no_that	The officer the pilot braves accommodates	5
25	1	13	unexpected	accomodate	obj_rel_no_that	The officer the pilot braves accomodate	5
26	1	13	expected	accomodate	obj_rel_no_that	The officer the pilot braves accomodates	5
27	1	14	unexpected	accompany	obj_rel_no_that	The officer the pilot braves accompany	5
28	1	14	expected	accompany	obj_rel_no_that	The officer the pilot braves accompanies	5
29	1	15	unexpected	accomplish	obj_rel_no_that	The officer the pilot braves accomplish	5
30	1	15	expected	accomplish	obj_rel_no_that	The officer the pilot braves accomplishes	5
31	1	16	unexpected	accord	obj_rel_no_that	The officer the pilot braves accord	5
32	1	16	expected	accord	obj_rel_no_that	The officer the pilot braves accords	5
33	1	17	unexpected	account	obj_rel_no_that	The officer the pilot braves account	5
34	1	17	expected	account	obj_rel_no_that	The officer the pilot braves accounts	5
35	1	18	unexpected	accrue	obj_rel_no_that	The officer the pilot braves accrue	5
36	1	18	expected	accrue	obj_rel_no_that	The officer the pilot braves accrues	5
