sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	obj_rel	The surgeon that the authors dampen abandon	6
2	1	1	expected	abandon	obj_rel	The surgeon that the authors dampen abandons	6
3	1	2	unexpected	abate	obj_rel	The surgeon that the authors dampen abate	6
4	1	2	expected	abate	obj_rel	The surgeon that the authors dampen abates	6
5	1	3	unexpected	abide	obj_rel	The surgeon that the authors dampen abide	6
6	1	3	expected	abide	obj_rel	The surgeon that the authors dampen abides	6
7	1	4	unexpected	abolish	obj_rel	The surgeon that the authors dampen abolish	6
8	1	4	expected	abolish	obj_rel	The surgeon that the authors dampen abolishes	6
9	1	5	unexpected	absorb	obj_rel	The surgeon that the authors dampen absorb	6
10	1	5	expected	absorb	obj_rel	The surgeon that the authors dampen absorbs	6
11	1	6	unexpected	abuse	obj_rel	The surgeon that the authors dampen abuse	6
12	1	6	expected	abuse	obj_rel	The surgeon that the authors dampen abuses	6
13	1	7	unexpected	accede	obj_rel	The surgeon that the authors dampen accede	6
14	1	7	expected	accede	obj_rel	The surgeon that the authors dampen accedes	6
15	1	8	unexpected	accelerate	obj_rel	The surgeon that the authors dampen accelerate	6
16	1	8	expected	accelerate	obj_rel	The surgeon that the authors dampen accelerates	6
17	1	9	unexpected	accept	obj_rel	The surgeon that the authors dampen accept	6
18	1	9	expected	accept	obj_rel	The surgeon that the authors dampen accepts	6
19	1	10	unexpected	access	obj_rel	The surgeon that the authors dampen access	6
20	1	10	expected	access	obj_rel	The surgeon that the authors dampen accesses	6
21	1	11	unexpected	acclaim	obj_rel	The surgeon that the authors dampen acclaim	6
22	1	11	expected	acclaim	obj_rel	The surgeon that the authors dampen acclaims	6
23	1	12	unexpected	accommodate	obj_rel	The surgeon that the authors dampen accommodate	6
24	1	12	expected	accommodate	obj_rel	The surgeon that the authors dampen accommodates	6
25	1	13	unexpected	accomodate	obj_rel	The surgeon that the authors dampen accomodate	6
26	1	13	expected	accomodate	obj_rel	The surgeon that the authors dampen accomodates	6
27	1	14	unexpected	accompany	obj_rel	The surgeon that the authors dampen accompany	6
28	1	14	expected	accompany	obj_rel	The surgeon that the authors dampen accompanies	6
29	1	15	unexpected	accomplish	obj_rel	The surgeon that the authors dampen accomplish	6
30	1	15	expected	accomplish	obj_rel	The surgeon that the authors dampen accomplishes	6
31	1	16	unexpected	accord	obj_rel	The surgeon that the authors dampen accord	6
32	1	16	expected	accord	obj_rel	The surgeon that the authors dampen accords	6
33	1	17	unexpected	account	obj_rel	The surgeon that the authors dampen account	6
34	1	17	expected	account	obj_rel	The surgeon that the authors dampen accounts	6
35	1	18	unexpected	accrue	obj_rel	The surgeon that the authors dampen accrue	6
36	1	18	expected	accrue	obj_rel	The surgeon that the authors dampen accrues	6
37	1	19	unexpected	accuse	obj_rel	The surgeon that the authors dampen accuse	6
38	1	19	expected	accuse	obj_rel	The surgeon that the authors dampen accuses	6
39	1	20	unexpected	achieve	obj_rel	The surgeon that the authors dampen achieve	6
40	1	20	expected	achieve	obj_rel	The surgeon that the authors dampen achieves	6
41	1	21	unexpected	acknowledge	obj_rel	The surgeon that the authors dampen acknowledge	6
42	1	21	expected	acknowledge	obj_rel	The surgeon that the authors dampen acknowledges	6
43	1	22	unexpected	acquire	obj_rel	The surgeon that the authors dampen acquire	6
44	1	22	expected	acquire	obj_rel	The surgeon that the authors dampen acquires	6
45	1	23	unexpected	acquit	obj_rel	The surgeon that the authors dampen acquit	6
46	1	23	expected	acquit	obj_rel	The surgeon that the authors dampen acquits	6
47	1	24	unexpected	act	obj_rel	The surgeon that the authors dampen act	6
48	1	24	expected	act	obj_rel	The surgeon that the authors dampen acts	6
49	1	25	unexpected	adapt	obj_rel	The surgeon that the authors dampen adapt	6
50	1	25	expected	adapt	obj_rel	The surgeon that the authors dampen adapts	6
51	1	26	unexpected	address	obj_rel	The surgeon that the authors dampen address	6
52	1	26	expected	address	obj_rel	The surgeon that the authors dampen addresses	6
53	1	27	unexpected	add	obj_rel	The surgeon that the authors dampen add	6
54	1	27	expected	add	obj_rel	The surgeon that the authors dampen adds	6
55	1	28	unexpected	adhere	obj_rel	The surgeon that the authors dampen adhere	6
