sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	vp_coord	The surgeons polish and abandons	4
2	1	1	expected	abandon	vp_coord	The surgeons polish and abandon	4
3	1	2	unexpected	abate	vp_coord	The surgeons polish and abates	4
4	1	2	expected	abate	vp_coord	The surgeons polish and abate	4
5	1	3	unexpected	abide	vp_coord	The surgeons polish and abides	4
6	1	3	expected	abide	vp_coord	The surgeons polish and abide	4
7	1	4	unexpected	abolish	vp_coord	The surgeons polish and abolishes	4
8	1	4	expected	abolish	vp_coord	The surgeons polish and abolish	4
9	1	5	unexpected	absorb	vp_coord	The surgeons polish and absorbs	4
10	1	5	expected	absorb	vp_coord	The surgeons polish and absorb	4
11	1	6	unexpected	abuse	vp_coord	The surgeons polish and abuses	4
12	1	6	expected	abuse	vp_coord	The surgeons polish and abuse	4
13	1	7	unexpected	accede	vp_coord	The surgeons polish and accedes	4
14	1	7	expected	accede	vp_coord	The surgeons polish and accede	4
15	1	8	unexpected	accelerate	vp_coord	The surgeons polish and accelerates	4
16	1	8	expected	accelerate	vp_coord	The surgeons polish and accelerate	4
17	1	9	unexpected	accept	vp_coord	The surgeons polish and accepts	4
18	1	9	expected	accept	vp_coord	The surgeons polish and accept	4
19	1	10	unexpected	access	vp_coord	The surgeons polish and accesses	4
20	1	10	expected	access	vp_coord	The surgeons polish and access	4
21	1	11	unexpected	acclaim	vp_coord	The surgeons polish and acclaims	4
22	1	11	expected	acclaim	vp_coord	The surgeons polish and acclaim	4
23	1	12	unexpected	accommodate	vp_coord	The surgeons polish and accommodates	4
24	1	12	expected	accommodate	vp_coord	The surgeons polish and accommodate	4
25	1	13	unexpected	accomodate	vp_coord	The surgeons polish and accomodates	4
26	1	13	expected	accomodate	vp_coord	The surgeons polish and accomodate	4
27	1	14	unexpected	accompany	vp_coord	The surgeons polish and accompanies	4
28	1	14	expected	accompany	vp_coord	The surgeons polish and accompany	4
29	1	15	unexpected	accomplish	vp_coord	The surgeons polish and accomplishes	4
30	1	15	expected	accomplish	vp_coord	The surgeons polish and accomplish	4
31	1	16	unexpected	accord	vp_coord	The surgeons polish and accords	4
32	1	16	expected	accord	vp_coord	The surgeons polish and accord	4
33	1	17	unexpected	account	vp_coord	The surgeons polish and accounts	4
34	1	17	expected	account	vp_coord	The surgeons polish and account	4
35	1	18	unexpected	accrue	vp_coord	The surgeons polish and accrues	4
36	1	18	expected	accrue	vp_coord	The surgeons polish and accrue	4
37	1	19	unexpected	accuse	vp_coord	The surgeons polish and accuses	4
38	1	19	expected	accuse	vp_coord	The surgeons polish and accuse	4
39	1	20	unexpected	achieve	vp_coord	The surgeons polish and achieves	4
40	1	20	expected	achieve	vp_coord	The surgeons polish and achieve	4
41	1	21	unexpected	acknowledge	vp_coord	The surgeons polish and acknowledges	4
42	1	21	expected	acknowledge	vp_coord	The surgeons polish and acknowledge	4
43	1	22	unexpected	acquire	vp_coord	The surgeons polish and acquires	4
44	1	22	expected	acquire	vp_coord	The surgeons polish and acquire	4
45	1	23	unexpected	acquit	vp_coord	The surgeons polish and acquits	4
46	1	23	expected	acquit	vp_coord	The surgeons polish and acquit	4
47	1	24	unexpected	act	vp_coord	The surgeons polish and acts	4
48	1	24	expected	act	vp_coord	The surgeons polish and act	4
49	1	25	unexpected	adapt	vp_coord	The surgeons polish and adapts	4
50	1	25	expected	adapt	vp_coord	The surgeons polish and adapt	4
51	1	26	unexpected	address	vp_coord	The surgeons polish and addresses	4
52	1	26	expected	address	vp_coord	The surgeons polish and address	4
53	1	27	unexpected	add	vp_coord	The surgeons polish and adds	4
54	1	27	expected	add	vp_coord	The surgeons polish and add	4
55	1	28	unexpected	adhere	vp_coord	The surgeons polish and adheres	4
56	1	28	expected	adhere	vp_coord	The surgeons polish and adhere	4
57	1	29	unexpected	adjust	vp_coord	The surgeons polish and adjusts	4
58	1	29	expected	adjust	vp_coord	The surgeons polish and adjust	4
59	1	30	unexpected	administer	vp_coord	The surgeons polish and administers	4
60	1	30	expected	administer	vp_coord	The surgeons polish and administer	4
61	1	31	unexpected	admit	vp_coord	The surgeons polish and admits	4
62	1	31	expected	admit	vp_coord	The surgeons polish and admit	4
63	1	32	unexpected	adopt	vp_coord	The surgeons polish and adopts	4
64	1	32	expected	adopt	vp_coord	The surgeons polish and adopt	4
65	1	33	unexpected	adorn	vp_coord	The surgeons polish and adorns	4
66	1	33	expected	adorn	vp_coord	The surgeons polish and adorn	4
67	1	34	unexpected	advance	vp_coord	The surgeons polish and advances	4
68	1	34	expected	advance	vp_coord	The surgeons polish and advance	4
69	1	35	unexpected	advantage	vp_coord	The surgeons polish and advantages	4
70	1	35	expected	advantage	vp_coord	The surgeons polish and advantage	4
71	1	36	unexpected	advise	vp_coord	The surgeons polish and advises	4
72	1	36	expected	advise	vp_coord	The surgeons polish and advise	4
73	1	37	unexpected	affect	vp_coord	The surgeons polish and affects	4
74	1	37	expected	affect	vp_coord	The surgeons polish and affect	4
75	1	38	unexpected	afford	vp_coord	The surgeons polish and affords	4
76	1	38	expected	afford	vp_coord	The surgeons polish and afford	4
77	1	39	unexpected	aggravate	vp_coord	The surgeons polish and aggravates	4
78	1	39	expected	aggravate	vp_coord	The surgeons polish and aggravate	4
79	1	40	unexpected	agonize	vp_coord	The surgeons polish and agonizes	4
80	1	40	expected	agonize	vp_coord	The surgeons polish and agonize	4
81	1	41	unexpected	agree	vp_coord	The surgeons polish and agrees	4
82	1	41	expected	agree	vp_coord	The surgeons polish and agree	4
83	1	42	unexpected	aid	vp_coord	The surgeons polish and aids	4
84	1	42	expected	aid	vp_coord	The surgeons polish and aid	4
85	1	43	unexpected	aim	vp_coord	The surgeons polish and aims	4
86	1	43	expected	aim	vp_coord	The surgeons polish and aim	4
87	1	44	unexpected	air	vp_coord	The surgeons polish and airs	4
88	1	44	expected	air	vp_coord	The surgeons polish and air	4
89	1	45	unexpected	alert	vp_coord	The surgeons polish and alerts	4
