token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	1	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	1	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	1	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	1	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	1	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabandon	1	 abandon	5	gpt2	gpt2	False	4.545212846096547e-07	21.069149017333984
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	2	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	2	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	2	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	2	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	2	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġab	2	 abandons	5	gpt2	gpt2	False	6.237530215003062e-06	17.29059410095215
and	2	 abandons	5	gpt2	gpt2	False	0.020780906081199646	5.588597774505615
ons	2	 abandons	5	gpt2	gpt2	False	0.9971805810928345	0.0040733288042247295
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	3	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	3	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	3	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	3	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	3	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġab	3	 abate	5	gpt2	gpt2	False	6.237530215003062e-06	17.29059410095215
ate	3	 abate	5	gpt2	gpt2	False	0.0017805449897423387	9.133465766906738
The	4	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	4	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	4	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	4	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	4	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	4	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġab	4	 abates	5	gpt2	gpt2	False	6.237530215003062e-06	17.29059410095215
ates	4	 abates	5	gpt2	gpt2	False	0.014659282751381397	6.092041492462158
The	5	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	5	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	5	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	5	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	5	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	5	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabide	5	 abide	5	gpt2	gpt2	False	4.220713023528333e-08	24.49793815612793
The	6	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	6	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	6	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	6	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	6	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	6	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġab	6	 abides	5	gpt2	gpt2	False	6.237530215003062e-06	17.29059410095215
ides	6	 abides	5	gpt2	gpt2	False	0.006555286236107349	7.2531256675720215
The	7	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	7	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	7	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	7	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	7	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	7	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabolish	7	 abolish	5	gpt2	gpt2	False	3.2512892378377956e-09	28.196340560913086
The	8	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	8	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	8	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	8	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	8	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	8	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabol	8	 abolishes	5	gpt2	gpt2	False	3.8854267359056394e-08	24.617351531982422
ishes	8	 abolishes	5	gpt2	gpt2	False	0.006042011082172394	7.370755195617676
The	9	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	9	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	9	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	9	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	9	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	9	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabsorb	9	 absorb	5	gpt2	gpt2	False	5.0830401221446664e-08	24.229732513427734
The	10	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	10	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	10	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	10	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	10	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	10	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabsorbs	10	 absorbs	5	gpt2	gpt2	False	6.585603955500119e-07	20.534181594848633
The	11	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	11	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	11	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	11	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	11	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	11	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabuse	11	 abuse	5	gpt2	gpt2	False	4.262072252458893e-06	17.84001350402832
The	12	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	12	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	12	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	12	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	12	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	12	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġabuses	12	 abuses	5	gpt2	gpt2	False	4.261844424036099e-06	17.840089797973633
The	13	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	13	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	13	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	13	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	13	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	13	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġacc	13	 accede	5	gpt2	gpt2	False	1.7192178347613662e-05	15.827888488769531
ede	13	 accede	5	gpt2	gpt2	False	0.00010146332351723686	13.266754150390625
The	14	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	14	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	14	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	14	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	14	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
ves	14	 braves	4	gpt2	gpt2	False	0.10271795839071274	3.2832396030426025
Ġacc	14	 accedes	5	gpt2	gpt2	False	1.7192178347613662e-05	15.827888488769531
edes	14	 accedes	5	gpt2	gpt2	False	0.00039474814548157156	11.306779861450195
The	15	The	0	gpt2	gpt2	False	1.0	0.0
Ġofficer	15	 officer	1	gpt2	gpt2	False	0.00011868838919326663	13.040534019470215
Ġthe	15	 the	2	gpt2	gpt2	False	0.0002942890569102019	11.730478286743164
Ġpilot	15	 pilot	3	gpt2	gpt2	False	0.0005050819600000978	10.951194763183594
Ġbra	15	 braves	4	gpt2	gpt2	False	2.4088438294711523e-05	15.341300010681152
