sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	subj_rel	The senator that slumps the consultant abandon	6
2	1	1	expected	abandon	subj_rel	The senator that slumps the consultant abandons	6
3	1	2	unexpected	abate	subj_rel	The senator that slumps the consultant abate	6
4	1	2	expected	abate	subj_rel	The senator that slumps the consultant abates	6
5	1	3	unexpected	abide	subj_rel	The senator that slumps the consultant abide	6
6	1	3	expected	abide	subj_rel	The senator that slumps the consultant abides	6
7	1	4	unexpected	abolish	subj_rel	The senator that slumps the consultant abolish	6
8	1	4	expected	abolish	subj_rel	The senator that slumps the consultant abolishes	6
9	1	5	unexpected	absorb	subj_rel	The senator that slumps the consultant absorb	6
10	1	5	expected	absorb	subj_rel	The senator that slumps the consultant absorbs	6
11	1	6	unexpected	abuse	subj_rel	The senator that slumps the consultant abuse	6
12	1	6	expected	abuse	subj_rel	The senator that slumps the consultant abuses	6
13	1	7	unexpected	accede	subj_rel	The senator that slumps the consultant accede	6
14	1	7	expected	accede	subj_rel	The senator that slumps the consultant accedes	6
15	1	8	unexpected	accelerate	subj_rel	The senator that slumps the consultant accelerate	6
16	1	8	expected	accelerate	subj_rel	The senator that slumps the consultant accelerates	6
17	1	9	unexpected	accept	subj_rel	The senator that slumps the consultant accept	6
18	1	9	expected	accept	subj_rel	The senator that slumps the consultant accepts	6
19	1	10	unexpected	access	subj_rel	The senator that slumps the consultant access	6
20	1	10	expected	access	subj_rel	The senator that slumps the consultant accesses	6
21	1	11	unexpected	acclaim	subj_rel	The senator that slumps the consultant acclaim	6
22	1	11	expected	acclaim	subj_rel	The senator that slumps the consultant acclaims	6
23	1	12	unexpected	accommodate	subj_rel	The senator that slumps the consultant accommodate	6
24	1	12	expected	accommodate	subj_rel	The senator that slumps the consultant accommodates	6
25	1	13	unexpected	accomodate	subj_rel	The senator that slumps the consultant accomodate	6
26	1	13	expected	accomodate	subj_rel	The senator that slumps the consultant accomodates	6
27	1	14	unexpected	accompany	subj_rel	The senator that slumps the consultant accompany	6
28	1	14	expected	accompany	subj_rel	The senator that slumps the consultant accompanies	6
29	1	15	unexpected	accomplish	subj_rel	The senator that slumps the consultant accomplish	6
30	1	15	expected	accomplish	subj_rel	The senator that slumps the consultant accomplishes	6
31	1	16	unexpected	accord	subj_rel	The senator that slumps the consultant accord	6
32	1	16	expected	accord	subj_rel	The senator that slumps the consultant accords	6
33	1	17	unexpected	account	subj_rel	The senator that slumps the consultant account	6
34	1	17	expected	account	subj_rel	The senator that slumps the consultant accounts	6
35	1	18	unexpected	accrue	subj_rel	The senator that slumps the consultant accrue	6
36	1	18	expected	accrue	subj_rel	The senator that slumps the consultant accrues	6
37	1	19	unexpected	accuse	subj_rel	The senator that slumps the consultant accuse	6
38	1	19	expected	accuse	subj_rel	The senator that slumps the consultant accuses	6
39	1	20	unexpected	achieve	subj_rel	The senator that slumps the consultant achieve	6
40	1	20	expected	achieve	subj_rel	The senator that slumps the consultant achieves	6
41	1	21	unexpected	acknowledge	subj_rel	The senator that slumps the consultant acknowledge	6
42	1	21	expected	acknowledge	subj_rel	The senator that slumps the consultant acknowledges	6
43	1	22	unexpected	acquire	subj_rel	The senator that slumps the consultant acquire	6
44	1	22	expected	acquire	subj_rel	The senator that slumps the consultant acquires	6
45	1	23	unexpected	acquit	subj_rel	The senator that slumps the consultant acquit	6
46	1	23	expected	acquit	subj_rel	The senator that slumps the consultant acquits	6
47	1	24	unexpected	act	subj_rel	The senator that slumps the consultant act	6
48	1	24	expected	act	subj_rel	The senator that slumps the consultant acts	6
49	1	25	unexpected	adapt	subj_rel	The senator that slumps the consultant adapt	6
50	1	25	expected	adapt	subj_rel	The senator that slumps the consultant adapts	6
51	1	26	unexpected	address	subj_rel	The senator that slumps the consultant address	6
52	1	26	expected	address	subj_rel	The senator that slumps the consultant addresses	6
53	1	27	unexpected	add	subj_rel	The senator that slumps the consultant add	6
54	1	27	expected	add	subj_rel	The senator that slumps the consultant adds	6
55	1	28	unexpected	adhere	subj_rel	The senator that slumps the consultant adhere	6
56	1	28	expected	adhere	subj_rel	The senator that slumps the consultant adheres	6
57	1	29	unexpected	adjust	subj_rel	The senator that slumps the consultant adjust	6
58	1	29	expected	adjust	subj_rel	The senator that slumps the consultant adjusts	6
59	1	30	unexpected	administer	subj_rel	The senator that slumps the consultant administer	6
60	1	30	expected	administer	subj_rel	The senator that slumps the consultant administers	6
61	1	31	unexpected	admit	subj_rel	The senator that slumps the consultant admit	6
62	1	31	expected	admit	subj_rel	The senator that slumps the consultant admits	6
63	1	32	unexpected	adopt	subj_rel	The senator that slumps the consultant adopt	6
64	1	32	expected	adopt	subj_rel	The senator that slumps the consultant adopts	6
65	1	33	unexpected	adorn	subj_rel	The senator that slumps the consultant adorn	6
66	1	33	expected	adorn	subj_rel	The senator that slumps the consultant adorns	6
67	1	34	unexpected	advance	subj_rel	The senator that slumps the consultant advance	6
68	1	34	expected	advance	subj_rel	The senator that slumps the consultant advances	6
69	1	35	unexpected	advantage	subj_rel	The senator that slumps the consultant advantage	6
70	1	35	expected	advantage	subj_rel	The senator that slumps the consultant advantages	6
71	1	36	unexpected	advise	subj_rel	The senator that slumps the consultant advise	6
72	1	36	expected	advise	subj_rel	The senator that slumps the consultant advises	6
73	1	37	unexpected	affect	subj_rel	The senator that slumps the consultant affect	6
74	1	37	expected	affect	subj_rel	The senator that slumps the consultant affects	6
75	1	38	unexpected	afford	subj_rel	The senator that slumps the consultant afford	6
76	1	38	expected	afford	subj_rel	The senator that slumps the consultant affords	6
77	1	39	unexpected	aggravate	subj_rel	The senator that slumps the consultant aggravate	6
78	1	39	expected	aggravate	subj_rel	The senator that slumps the consultant aggravates	6
79	1	40	unexpected	agonize	subj_rel	The senator that slumps the consultant agonize	6
80	1	40	expected	agonize	subj_rel	The senator that slumps the consultant agonizes	6
81	1	41	unexpected	agree	subj_rel	The senator that slumps the consultant agree	6
82	1	41	expected	agree	subj_rel	The senator that slumps the consultant agrees	6
83	1	42	unexpected	aid	subj_rel	The senator that slumps the consultant aid	6
84	1	42	expected	aid	subj_rel	The senator that slumps the consultant aids	6
85	1	43	unexpected	aim	subj_rel	The senator that slumps the consultant aim	6
86	1	43	expected	aim	subj_rel	The senator that slumps the consultant aims	6
87	1	44	unexpected	air	subj_rel	The senator that slumps the consultant air	6
88	1	44	expected	air	subj_rel	The senator that slumps the consultant airs	6
89	1	45	unexpected	alert	subj_rel	The senator that slumps the consultant alert	6
90	1	45	expected	alert	subj_rel	The senator that slumps the consultant alerts	6
91	1	46	unexpected	alienate	subj_rel	The senator that slumps the consultant alienate	6
92	1	46	expected	alienate	subj_rel	The senator that slumps the consultant alienates	6
93	1	47	unexpected	allay	subj_rel	The senator that slumps the consultant allay	6
94	1	47	expected	allay	subj_rel	The senator that slumps the consultant allays	6
95	1	48	unexpected	allege	subj_rel	The senator that slumps the consultant allege	6
96	1	48	expected	allege	subj_rel	The senator that slumps the consultant alleges	6
97	1	49	unexpected	alleviate	subj_rel	The senator that slumps the consultant alleviate	6
98	1	49	expected	alleviate	subj_rel	The senator that slumps the consultant alleviates	6
99	1	50	unexpected	allocate	subj_rel	The senator that slumps the consultant allocate	6
100	1	50	expected	allocate	subj_rel	The senator that slumps the consultant allocates	6
101	1	51	unexpected	allowed	subj_rel	The senator that slumps the consultant allowed	6
102	1	51	expected	allowed	subj_rel	The senator that slumps the consultant alloweds	6
103	1	52	unexpected	allow	subj_rel	The senator that slumps the consultant allow	6
104	1	52	expected	allow	subj_rel	The senator that slumps the consultant allows	6
105	1	53	unexpected	ally	subj_rel	The senator that slumps the consultant ally	6
106	1	53	expected	ally	subj_rel	The senator that slumps the consultant allies	6
107	1	54	unexpected	alter	subj_rel	The senator that slumps the consultant alter	6
108	1	54	expected	alter	subj_rel	The senator that slumps the consultant alters	6
109	1	55	unexpected	amalgamate	subj_rel	The senator that slumps the consultant amalgamate	6
110	1	55	expected	amalgamate	subj_rel	The senator that slumps the consultant amalgamates	6
111	1	56	unexpected	amass	subj_rel	The senator that slumps the consultant amass	6
112	1	56	expected	amass	subj_rel	The senator that slumps the consultant amasses	6
113	1	57	unexpected	amaze	subj_rel	The senator that slumps the consultant amaze	6
114	1	57	expected	amaze	subj_rel	The senator that slumps the consultant amazes	6
115	1	58	unexpected	amble	subj_rel	The senator that slumps the consultant amble	6
116	1	58	expected	amble	subj_rel	The senator that slumps the consultant ambles	6
117	1	59	unexpected	amend	subj_rel	The senator that slumps the consultant amend	6
118	1	59	expected	amend	subj_rel	The senator that slumps the consultant amends	6
119	1	60	unexpected	amortize	subj_rel	The senator that slumps the consultant amortize	6
120	1	60	expected	amortize	subj_rel	The senator that slumps the consultant amortizes	6
121	1	61	unexpected	amount	subj_rel	The senator that slumps the consultant amount	6
122	1	61	expected	amount	subj_rel	The senator that slumps the consultant amounts	6
123	1	62	unexpected	amplify	subj_rel	The senator that slumps the consultant amplify	6
124	1	62	expected	amplify	subj_rel	The senator that slumps the consultant amplifies	6
125	1	63	unexpected	analyze	subj_rel	The senator that slumps the consultant analyze	6
126	1	63	expected	analyze	subj_rel	The senator that slumps the consultant analyzes	6
127	1	64	unexpected	anchor	subj_rel	The senator that slumps the consultant anchor	6
128	1	64	expected	anchor	subj_rel	The senator that slumps the consultant anchors	6
129	1	65	unexpected	announce	subj_rel	The senator that slumps the consultant announce	6
130	1	65	expected	announce	subj_rel	The senator that slumps the consultant announces	6
131	1	66	unexpected	answer	subj_rel	The senator that slumps the consultant answer	6
132	1	66	expected	answer	subj_rel	The senator that slumps the consultant answers	6
133	1	67	unexpected	antagonize	subj_rel	The senator that slumps the consultant antagonize	6
134	1	67	expected	antagonize	subj_rel	The senator that slumps the consultant antagonizes	6
135	1	68	unexpected	anticipate	subj_rel	The senator that slumps the consultant anticipate	6
136	1	68	expected	anticipate	subj_rel	The senator that slumps the consultant anticipates	6
137	1	69	unexpected	apologize	subj_rel	The senator that slumps the consultant apologize	6
138	1	69	expected	apologize	subj_rel	The senator that slumps the consultant apologizes	6
139	1	70	unexpected	appeal	subj_rel	The senator that slumps the consultant appeal	6
140	1	70	expected	appeal	subj_rel	The senator that slumps the consultant appeals	6
141	1	71	unexpected	appear	subj_rel	The senator that slumps the consultant appear	6
142	1	71	expected	appear	subj_rel	The senator that slumps the consultant appears	6
143	1	72	unexpected	appease	subj_rel	The senator that slumps the consultant appease	6
144	1	72	expected	appease	subj_rel	The senator that slumps the consultant appeases	6
145	1	73	unexpected	append	subj_rel	The senator that slumps the consultant append	6
146	1	73	expected	append	subj_rel	The senator that slumps the consultant appends	6
147	1	74	unexpected	applaud	subj_rel	The senator that slumps the consultant applaud	6
148	1	74	expected	applaud	subj_rel	The senator that slumps the consultant applauds	6
149	1	75	unexpected	apply	subj_rel	The senator that slumps the consultant apply	6
150	1	75	expected	apply	subj_rel	The senator that slumps the consultant applies	6
151	1	76	unexpected	appoint	subj_rel	The senator that slumps the consultant appoint	6
152	1	76	expected	appoint	subj_rel	The senator that slumps the consultant appoints	6
153	1	77	unexpected	appraise	subj_rel	The senator that slumps the consultant appraise	6
154	1	77	expected	appraise	subj_rel	The senator that slumps the consultant appraises	6
155	1	78	unexpected	appreciate	subj_rel	The senator that slumps the consultant appreciate	6
156	1	78	expected	appreciate	subj_rel	The senator that slumps the consultant appreciates	6
157	1	79	unexpected	approach	subj_rel	The senator that slumps the consultant approach	6
158	1	79	expected	approach	subj_rel	The senator that slumps the consultant approaches	6
159	1	80	unexpected	approve	subj_rel	The senator that slumps the consultant approve	6
160	1	80	expected	approve	subj_rel	The senator that slumps the consultant approves	6
161	1	81	unexpected	argue	subj_rel	The senator that slumps the consultant argue	6
162	1	81	expected	argue	subj_rel	The senator that slumps the consultant argues	6
163	1	82	unexpected	arise	subj_rel	The senator that slumps the consultant arise	6
164	1	82	expected	arise	subj_rel	The senator that slumps the consultant arises	6
165	1	83	unexpected	arm	subj_rel	The senator that slumps the consultant arm	6
166	1	83	expected	arm	subj_rel	The senator that slumps the consultant arms	6
167	1	84	unexpected	arouse	subj_rel	The senator that slumps the consultant arouse	6
168	1	84	expected	arouse	subj_rel	The senator that slumps the consultant arouses	6
169	1	85	unexpected	arrange	subj_rel	The senator that slumps the consultant arrange	6
170	1	85	expected	arrange	subj_rel	The senator that slumps the consultant arranges	6
171	1	86	unexpected	arrest	subj_rel	The senator that slumps the consultant arrest	6
172	1	86	expected	arrest	subj_rel	The senator that slumps the consultant arrests	6
173	1	87	unexpected	arrive	subj_rel	The senator that slumps the consultant arrive	6
174	1	87	expected	arrive	subj_rel	The senator that slumps the consultant arrives	6
175	1	88	unexpected	articulate	subj_rel	The senator that slumps the consultant articulate	6
176	1	88	expected	articulate	subj_rel	The senator that slumps the consultant articulates	6
177	1	89	unexpected	ask	subj_rel	The senator that slumps the consultant ask	6
178	1	89	expected	ask	subj_rel	The senator that slumps the consultant asks	6
179	1	90	unexpected	assassinate	subj_rel	The senator that slumps the consultant assassinate	6
180	1	90	expected	assassinate	subj_rel	The senator that slumps the consultant assassinates	6
181	1	91	unexpected	assemble	subj_rel	The senator that slumps the consultant assemble	6
182	1	91	expected	assemble	subj_rel	The senator that slumps the consultant assembles	6
183	1	92	unexpected	assert	subj_rel	The senator that slumps the consultant assert	6
184	1	92	expected	assert	subj_rel	The senator that slumps the consultant asserts	6
185	1	93	unexpected	assess	subj_rel	The senator that slumps the consultant assess	6
186	1	93	expected	assess	subj_rel	The senator that slumps the consultant assesses	6
187	1	94	unexpected	assign	subj_rel	The senator that slumps the consultant assign	6
188	1	94	expected	assign	subj_rel	The senator that slumps the consultant assigns	6
189	1	95	unexpected	assimilate	subj_rel	The senator that slumps the consultant assimilate	6
190	1	95	expected	assimilate	subj_rel	The senator that slumps the consultant assimilates	6
191	1	96	unexpected	assist	subj_rel	The senator that slumps the consultant assist	6
192	1	96	expected	assist	subj_rel	The senator that slumps the consultant assists	6
193	1	97	unexpected	assuage	subj_rel	The senator that slumps the consultant assuage	6
194	1	97	expected	assuage	subj_rel	The senator that slumps the consultant assuages	6
195	1	98	unexpected	assume	subj_rel	The senator that slumps the consultant assume	6
196	1	98	expected	assume	subj_rel	The senator that slumps the consultant assumes	6
197	2	99	unexpected	assure	subj_rel	The teacher that motivates the manager assure	6
198	2	99	expected	assure	subj_rel	The teacher that motivates the manager assures	6
199	2	100	unexpected	atone	subj_rel	The teacher that motivates the manager atone	6
200	2	100	expected	atone	subj_rel	The teacher that motivates the manager atones	6
201	2	101	unexpected	attach	subj_rel	The teacher that motivates the manager attach	6
202	2	101	expected	attach	subj_rel	The teacher that motivates the manager attaches	6
203	2	102	unexpected	attack	subj_rel	The teacher that motivates the manager attack	6
204	2	102	expected	attack	subj_rel	The teacher that motivates the manager attacks	6
205	2	103	unexpected	attain	subj_rel	The teacher that motivates the manager attain	6
206	2	103	expected	attain	subj_rel	The teacher that motivates the manager attains	6
207	2	104	unexpected	attempt	subj_rel	The teacher that motivates the manager attempt	6
208	2	104	expected	attempt	subj_rel	The teacher that motivates the manager attempts	6
209	2	105	unexpected	attend	subj_rel	The teacher that motivates the manager attend	6
210	2	105	expected	attend	subj_rel	The teacher that motivates the manager attends	6
211	2	106	unexpected	attention	subj_rel	The teacher that motivates the manager attention	6
212	2	106	expected	attention	subj_rel	The teacher that motivates the manager attentions	6
213	2	107	unexpected	attest	subj_rel	The teacher that motivates the manager attest	6
214	2	107	expected	attest	subj_rel	The teacher that motivates the manager attests	6
215	2	108	unexpected	attract	subj_rel	The teacher that motivates the manager attract	6
216	2	108	expected	attract	subj_rel	The teacher that motivates the manager attracts	6
217	2	109	unexpected	attribute	subj_rel	The teacher that motivates the manager attribute	6
218	2	109	expected	attribute	subj_rel	The teacher that motivates the manager attributes	6
219	2	110	unexpected	auction	subj_rel	The teacher that motivates the manager auction	6
