token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.5600609183311462	0.836344301700592
senator	1	senator	1	bert-base-cased	bert-base-cased	False	2.121442958014086e-05	15.5245943069458
that	1	that	2	bert-base-cased	bert-base-cased	False	0.00027730714646168053	11.816227912902832
s	1	slumps	3	bert-base-cased	bert-base-cased	False	0.00020619590941350907	12.243696212768555
##lump	1	slumps	3	bert-base-cased	bert-base-cased	False	0.0014793416485190392	9.400829315185547
##s	1	slumps	3	bert-base-cased	bert-base-cased	False	0.3546285927295685	1.495619297027588
the	1	the	4	bert-base-cased	bert-base-cased	False	0.09253792464733124	3.4338114261627197
consultant	1	consultant	5	bert-base-cased	bert-base-cased	False	4.291161985747749e-07	21.152128219604492
abandon	1	abandon	6	bert-base-cased	bert-base-cased	False	1.9297266007356484e-09	28.948955535888672
The	2	The	0	bert-base-cased	bert-base-cased	False	0.8375220894813538	0.2558008134365082
senator	2	senator	1	bert-base-cased	bert-base-cased	False	3.737371662282385e-05	14.707616806030273
that	2	that	2	bert-base-cased	bert-base-cased	False	0.018904980272054672	5.725090026855469
s	2	slumps	3	bert-base-cased	bert-base-cased	False	0.00015277521742973477	12.676301956176758
##lump	2	slumps	3	bert-base-cased	bert-base-cased	False	0.0021544492337852716	8.858465194702148
##s	2	slumps	3	bert-base-cased	bert-base-cased	False	0.7832950949668884	0.3523721694946289
the	2	the	4	bert-base-cased	bert-base-cased	False	0.10347482562065125	3.272648334503174
consultant	2	consultant	5	bert-base-cased	bert-base-cased	False	3.5275755294605915e-07	21.4348201751709
abandon	2	abandons	6	bert-base-cased	bert-base-cased	False	3.37722440235666e-06	18.175729751586914
##s	2	abandons	6	bert-base-cased	bert-base-cased	False	0.001787608372978866	9.127753257751465
The	3	The	0	bert-base-cased	bert-base-cased	False	0.5896812677383423	0.7619926929473877
senator	3	senator	1	bert-base-cased	bert-base-cased	False	6.26727251074044e-06	17.28373146057129
that	3	that	2	bert-base-cased	bert-base-cased	False	0.0017065271968021989	9.194721221923828
s	3	slumps	3	bert-base-cased	bert-base-cased	False	0.00018271028238814324	12.4181547164917
##lump	3	slumps	3	bert-base-cased	bert-base-cased	False	0.0038478518836200237	8.02173137664795
##s	3	slumps	3	bert-base-cased	bert-base-cased	False	0.4705059230327606	1.0877151489257812
the	3	the	4	bert-base-cased	bert-base-cased	False	0.09961799532175064	3.3274497985839844
consultant	3	consultant	5	bert-base-cased	bert-base-cased	False	8.912514317671594e-07	20.09766387939453
a	3	abate	6	bert-base-cased	bert-base-cased	False	2.0902965843561105e-05	15.54593276977539
##bate	3	abate	6	bert-base-cased	bert-base-cased	False	6.072459086681192e-07	20.651216506958008
The	4	The	0	bert-base-cased	bert-base-cased	False	0.8358557224273682	0.25867414474487305
senator	4	senator	1	bert-base-cased	bert-base-cased	False	1.7875511275633471e-06	19.093584060668945
that	4	that	2	bert-base-cased	bert-base-cased	False	0.008322829380631447	6.90871000289917
s	4	slumps	3	bert-base-cased	bert-base-cased	False	0.00023856814368627965	12.033310890197754
