	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	gpt2	1	1	1	abandon	vp_coord	unexpected	The surgeons polish and abandons	0.3184382535400801	0.3184382535400801	5.9245781774322195	5.9245781774322195
1	gpt2	2	1	1	abandon	vp_coord	expected	The surgeons polish and abandon	8.825973054626957e-06	8.825973054626957e-06	16.789813995361328	16.789813995361328
2	gpt2	3	2	1	abate	vp_coord	unexpected	The surgeons polish and abates	0.00072594406083225	0.00072594406083225	10.453984260559082	10.453984260559082
3	gpt2	4	2	1	abate	vp_coord	expected	The surgeons polish and abate	0.016755861492129	0.016755861492129	7.827085494995117	7.827085494995117
4	gpt2	5	3	1	abide	vp_coord	unexpected	The surgeons polish and abides	0.00040210793667935	0.00040210793667935	11.455727100372314	11.455727100372314
5	gpt2	6	3	1	abide	vp_coord	expected	The surgeons polish and abide	3.923829353880137e-06	3.923829353880137e-06	17.959306716918945	17.959306716918945
6	gpt2	7	4	1	abolish	vp_coord	unexpected	The surgeons polish and abolishes	0.07720942792310126	0.07720942792310126	12.76289689540863	12.76289689540863
7	gpt2	8	4	1	abolish	vp_coord	expected	The surgeons polish and abolish	3.1673030207457487e-06	3.1673030207457487e-06	18.268314361572266	18.268314361572266
8	gpt2	9	5	1	absorb	vp_coord	unexpected	The surgeons polish and absorbs	6.26626558641874e-07	6.26626558641874e-07	20.60589027404785	20.60589027404785
9	gpt2	10	5	1	absorb	vp_coord	expected	The surgeons polish and absorb	0.0001954032195499	0.0001954032195499	12.321258544921877	12.321258544921877
10	gpt2	11	6	1	abuse	vp_coord	unexpected	The surgeons polish and abuses	5.457908400785527e-07	5.457908400785527e-07	20.80514907836914	20.80514907836914
11	gpt2	12	6	1	abuse	vp_coord	expected	The surgeons polish and abuse	6.0589001805055887e-05	6.0589001805055887e-05	14.010584831237791	14.010584831237791
12	gpt2	13	7	1	accede	vp_coord	unexpected	The surgeons polish and accedes	0.00020429473443070946	0.00020429473443070946	12.718006610870361	12.718006610870361
13	gpt2	14	7	1	accede	vp_coord	expected	The surgeons polish and accede	0.0018050357757601499	0.0018050357757601499	9.880496501922607	9.880496501922607
14	gpt2	15	8	1	accelerate	vp_coord	unexpected	The surgeons polish and accelerates	0.1135527069520776	0.1135527069520776	10.991013526916506	10.991013526916506
