sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
1	1	1	unexpected	abandon	sent_comp	The farmer knows the customer abandon	5
2	1	1	expected	abandon	sent_comp	The farmer knows the customer abandons	5
3	1	2	unexpected	abate	sent_comp	The farmer knows the customer abate	5
4	1	2	expected	abate	sent_comp	The farmer knows the customer abates	5
5	1	3	unexpected	abide	sent_comp	The farmer knows the customer abide	5
6	1	3	expected	abide	sent_comp	The farmer knows the customer abides	5
7	1	4	unexpected	abolish	sent_comp	The farmer knows the customer abolish	5
8	1	4	expected	abolish	sent_comp	The farmer knows the customer abolishes	5
9	1	5	unexpected	absorb	sent_comp	The farmer knows the customer absorb	5
10	1	5	expected	absorb	sent_comp	The farmer knows the customer absorbs	5
11	1	6	unexpected	abuse	sent_comp	The farmer knows the customer abuse	5
12	1	6	expected	abuse	sent_comp	The farmer knows the customer abuses	5
13	1	7	unexpected	accede	sent_comp	The farmer knows the customer accede	5
14	1	7	expected	accede	sent_comp	The farmer knows the customer accedes	5
15	1	8	unexpected	accelerate	sent_comp	The farmer knows the customer accelerate	5
16	1	8	expected	accelerate	sent_comp	The farmer knows the customer accelerates	5
17	1	9	unexpected	accept	sent_comp	The farmer knows the customer accept	5
18	1	9	expected	accept	sent_comp	The farmer knows the customer accepts	5
19	1	10	unexpected	access	sent_comp	The farmer knows the customer access	5
20	1	10	expected	access	sent_comp	The farmer knows the customer accesses	5
21	1	11	unexpected	acclaim	sent_comp	The farmer knows the customer acclaim	5
22	1	11	expected	acclaim	sent_comp	The farmer knows the customer acclaims	5
23	1	12	unexpected	accommodate	sent_comp	The farmer knows the customer accommodate	5
24	1	12	expected	accommodate	sent_comp	The farmer knows the customer accommodates	5
25	1	13	unexpected	accomodate	sent_comp	The farmer knows the customer accomodate	5
26	1	13	expected	accomodate	sent_comp	The farmer knows the customer accomodates	5
27	1	14	unexpected	accompany	sent_comp	The farmer knows the customer accompany	5
28	1	14	expected	accompany	sent_comp	The farmer knows the customer accompanies	5
29	1	15	unexpected	accomplish	sent_comp	The farmer knows the customer accomplish	5
30	1	15	expected	accomplish	sent_comp	The farmer knows the customer accomplishes	5
31	1	16	unexpected	accord	sent_comp	The farmer knows the customer accord	5
32	1	16	expected	accord	sent_comp	The farmer knows the customer accords	5
33	1	17	unexpected	account	sent_comp	The farmer knows the customer account	5
34	1	17	expected	account	sent_comp	The farmer knows the customer accounts	5
35	1	18	unexpected	accrue	sent_comp	The farmer knows the customer accrue	5
36	1	18	expected	accrue	sent_comp	The farmer knows the customer accrues	5
37	1	19	unexpected	accuse	sent_comp	The farmer knows the customer accuse	5
38	1	19	expected	accuse	sent_comp	The farmer knows the customer accuses	5
39	1	20	unexpected	achieve	sent_comp	The farmer knows the customer achieve	5
40	1	20	expected	achieve	sent_comp	The farmer knows the customer achieves	5
41	1	21	unexpected	acknowledge	sent_comp	The farmer knows the customer acknowledge	5
42	1	21	expected	acknowledge	sent_comp	The farmer knows the customer acknowledges	5
43	1	22	unexpected	acquire	sent_comp	The farmer knows the customer acquire	5
44	1	22	expected	acquire	sent_comp	The farmer knows the customer acquires	5
45	1	23	unexpected	acquit	sent_comp	The farmer knows the customer acquit	5
46	1	23	expected	acquit	sent_comp	The farmer knows the customer acquits	5
47	1	24	unexpected	act	sent_comp	The farmer knows the customer act	5
48	1	24	expected	act	sent_comp	The farmer knows the customer acts	5
49	1	25	unexpected	adapt	sent_comp	The farmer knows the customer adapt	5
50	1	25	expected	adapt	sent_comp	The farmer knows the customer adapts	5
51	1	26	unexpected	address	sent_comp	The farmer knows the customer address	5
52	1	26	expected	address	sent_comp	The farmer knows the customer addresses	5
53	1	27	unexpected	add	sent_comp	The farmer knows the customer add	5
54	1	27	expected	add	sent_comp	The farmer knows the customer adds	5
55	1	28	unexpected	adhere	sent_comp	The farmer knows the customer adhere	5
56	1	28	expected	adhere	sent_comp	The farmer knows the customer adheres	5
57	1	29	unexpected	adjust	sent_comp	The farmer knows the customer adjust	5
58	1	29	expected	adjust	sent_comp	The farmer knows the customer adjusts	5
59	1	30	unexpected	administer	sent_comp	The farmer knows the customer administer	5
60	1	30	expected	administer	sent_comp	The farmer knows the customer administers	5
61	1	31	unexpected	admit	sent_comp	The farmer knows the customer admit	5
62	1	31	expected	admit	sent_comp	The farmer knows the customer admits	5
63	1	32	unexpected	adopt	sent_comp	The farmer knows the customer adopt	5
64	1	32	expected	adopt	sent_comp	The farmer knows the customer adopts	5
65	1	33	unexpected	adorn	sent_comp	The farmer knows the customer adorn	5
66	1	33	expected	adorn	sent_comp	The farmer knows the customer adorns	5
67	1	34	unexpected	advance	sent_comp	The farmer knows the customer advance	5
68	1	34	expected	advance	sent_comp	The farmer knows the customer advances	5
69	1	35	unexpected	advantage	sent_comp	The farmer knows the customer advantage	5
70	1	35	expected	advantage	sent_comp	The farmer knows the customer advantages	5
71	1	36	unexpected	advise	sent_comp	The farmer knows the customer advise	5
72	1	36	expected	advise	sent_comp	The farmer knows the customer advises	5
73	1	37	unexpected	affect	sent_comp	The farmer knows the customer affect	5
74	1	37	expected	affect	sent_comp	The farmer knows the customer affects	5
75	1	38	unexpected	afford	sent_comp	The farmer knows the customer afford	5
76	1	38	expected	afford	sent_comp	The farmer knows the customer affords	5
77	1	39	unexpected	aggravate	sent_comp	The farmer knows the customer aggravate	5
78	1	39	expected	aggravate	sent_comp	The farmer knows the customer aggravates	5
79	1	40	unexpected	agonize	sent_comp	The farmer knows the customer agonize	5
80	1	40	expected	agonize	sent_comp	The farmer knows the customer agonizes	5
81	1	41	unexpected	agree	sent_comp	The farmer knows the customer agree	5
82	1	41	expected	agree	sent_comp	The farmer knows the customer agrees	5
83	1	42	unexpected	aid	sent_comp	The farmer knows the customer aid	5
84	1	42	expected	aid	sent_comp	The farmer knows the customer aids	5
85	1	43	unexpected	aim	sent_comp	The farmer knows the customer aim	5
86	1	43	expected	aim	sent_comp	The farmer knows the customer aims	5
87	1	44	unexpected	air	sent_comp	The farmer knows the customer air	5
88	1	44	expected	air	sent_comp	The farmer knows the customer airs	5
89	1	45	unexpected	alert	sent_comp	The farmer knows the customer alert	5
90	1	45	expected	alert	sent_comp	The farmer knows the customer alerts	5
91	1	46	unexpected	alienate	sent_comp	The farmer knows the customer alienate	5
92	1	46	expected	alienate	sent_comp	The farmer knows the customer alienates	5
93	1	47	unexpected	allay	sent_comp	The farmer knows the customer allay	5
94	1	47	expected	allay	sent_comp	The farmer knows the customer allays	5
95	1	48	unexpected	allege	sent_comp	The farmer knows the customer allege	5
96	1	48	expected	allege	sent_comp	The farmer knows the customer alleges	5
97	1	49	unexpected	alleviate	sent_comp	The farmer knows the customer alleviate	5
98	1	49	expected	alleviate	sent_comp	The farmer knows the customer alleviates	5
99	1	50	unexpected	allocate	sent_comp	The farmer knows the customer allocate	5
100	1	50	expected	allocate	sent_comp	The farmer knows the customer allocates	5
101	1	51	unexpected	allowed	sent_comp	The farmer knows the customer allowed	5
102	1	51	expected	allowed	sent_comp	The farmer knows the customer alloweds	5
103	1	52	unexpected	allow	sent_comp	The farmer knows the customer allow	5
104	1	52	expected	allow	sent_comp	The farmer knows the customer allows	5
105	1	53	unexpected	ally	sent_comp	The farmer knows the customer ally	5
106	1	53	expected	ally	sent_comp	The farmer knows the customer allies	5
107	1	54	unexpected	alter	sent_comp	The farmer knows the customer alter	5
108	1	54	expected	alter	sent_comp	The farmer knows the customer alters	5
109	1	55	unexpected	amalgamate	sent_comp	The farmer knows the customer amalgamate	5
110	1	55	expected	amalgamate	sent_comp	The farmer knows the customer amalgamates	5
111	1	56	unexpected	amass	sent_comp	The farmer knows the customer amass	5
112	1	56	expected	amass	sent_comp	The farmer knows the customer amasses	5
113	1	57	unexpected	amaze	sent_comp	The farmer knows the customer amaze	5
114	1	57	expected	amaze	sent_comp	The farmer knows the customer amazes	5
115	1	58	unexpected	amble	sent_comp	The farmer knows the customer amble	5
116	1	58	expected	amble	sent_comp	The farmer knows the customer ambles	5
117	1	59	unexpected	amend	sent_comp	The farmer knows the customer amend	5
118	1	59	expected	amend	sent_comp	The farmer knows the customer amends	5
119	1	60	unexpected	amortize	sent_comp	The farmer knows the customer amortize	5
120	1	60	expected	amortize	sent_comp	The farmer knows the customer amortizes	5
121	1	61	unexpected	amount	sent_comp	The farmer knows the customer amount	5
122	1	61	expected	amount	sent_comp	The farmer knows the customer amounts	5
123	1	62	unexpected	amplify	sent_comp	The farmer knows the customer amplify	5
124	1	62	expected	amplify	sent_comp	The farmer knows the customer amplifies	5
125	1	63	unexpected	analyze	sent_comp	The farmer knows the customer analyze	5
126	1	63	expected	analyze	sent_comp	The farmer knows the customer analyzes	5
127	1	64	unexpected	anchor	sent_comp	The farmer knows the customer anchor	5
128	1	64	expected	anchor	sent_comp	The farmer knows the customer anchors	5
129	1	65	unexpected	announce	sent_comp	The farmer knows the customer announce	5
130	1	65	expected	announce	sent_comp	The farmer knows the customer announces	5
131	1	66	unexpected	answer	sent_comp	The farmer knows the customer answer	5
132	1	66	expected	answer	sent_comp	The farmer knows the customer answers	5
133	1	67	unexpected	antagonize	sent_comp	The farmer knows the customer antagonize	5
134	1	67	expected	antagonize	sent_comp	The farmer knows the customer antagonizes	5
135	1	68	unexpected	anticipate	sent_comp	The farmer knows the customer anticipate	5
136	1	68	expected	anticipate	sent_comp	The farmer knows the customer anticipates	5
137	1	69	unexpected	apologize	sent_comp	The farmer knows the customer apologize	5
138	1	69	expected	apologize	sent_comp	The farmer knows the customer apologizes	5
139	1	70	unexpected	appeal	sent_comp	The farmer knows the customer appeal	5
140	1	70	expected	appeal	sent_comp	The farmer knows the customer appeals	5
141	1	71	unexpected	appear	sent_comp	The farmer knows the customer appear	5
142	1	71	expected	appear	sent_comp	The farmer knows the customer appears	5
143	1	72	unexpected	appease	sent_comp	The farmer knows the customer appease	5
144	1	72	expected	appease	sent_comp	The farmer knows the customer appeases	5
145	1	73	unexpected	append	sent_comp	The farmer knows the customer append	5
146	1	73	expected	append	sent_comp	The farmer knows the customer appends	5
147	1	74	unexpected	applaud	sent_comp	The farmer knows the customer applaud	5
148	1	74	expected	applaud	sent_comp	The farmer knows the customer applauds	5
149	1	75	unexpected	apply	sent_comp	The farmer knows the customer apply	5
150	1	75	expected	apply	sent_comp	The farmer knows the customer applies	5
151	1	76	unexpected	appoint	sent_comp	The farmer knows the customer appoint	5
152	1	76	expected	appoint	sent_comp	The farmer knows the customer appoints	5
153	1	77	unexpected	appraise	sent_comp	The farmer knows the customer appraise	5
154	1	77	expected	appraise	sent_comp	The farmer knows the customer appraises	5
155	1	78	unexpected	appreciate	sent_comp	The farmer knows the customer appreciate	5
156	1	78	expected	appreciate	sent_comp	The farmer knows the customer appreciates	5
157	1	79	unexpected	approach	sent_comp	The farmer knows the customer approach	5
158	1	79	expected	approach	sent_comp	The farmer knows the customer approaches	5
159	1	80	unexpected	approve	sent_comp	The farmer knows the customer approve	5
160	1	80	expected	approve	sent_comp	The farmer knows the customer approves	5
161	1	81	unexpected	argue	sent_comp	The farmer knows the customer argue	5
162	1	81	expected	argue	sent_comp	The farmer knows the customer argues	5
163	1	82	unexpected	arise	sent_comp	The farmer knows the customer arise	5
164	1	82	expected	arise	sent_comp	The farmer knows the customer arises	5
165	1	83	unexpected	arm	sent_comp	The farmer knows the customer arm	5
166	1	83	expected	arm	sent_comp	The farmer knows the customer arms	5
167	1	84	unexpected	arouse	sent_comp	The farmer knows the customer arouse	5
168	1	84	expected	arouse	sent_comp	The farmer knows the customer arouses	5
169	1	85	unexpected	arrange	sent_comp	The farmer knows the customer arrange	5
170	1	85	expected	arrange	sent_comp	The farmer knows the customer arranges	5
171	1	86	unexpected	arrest	sent_comp	The farmer knows the customer arrest	5
172	1	86	expected	arrest	sent_comp	The farmer knows the customer arrests	5
173	1	87	unexpected	arrive	sent_comp	The farmer knows the customer arrive	5
174	1	87	expected	arrive	sent_comp	The farmer knows the customer arrives	5
175	1	88	unexpected	articulate	sent_comp	The farmer knows the customer articulate	5
176	1	88	expected	articulate	sent_comp	The farmer knows the customer articulates	5
177	1	89	unexpected	ask	sent_comp	The farmer knows the customer ask	5
178	1	89	expected	ask	sent_comp	The farmer knows the customer asks	5
179	1	90	unexpected	assassinate	sent_comp	The farmer knows the customer assassinate	5
180	1	90	expected	assassinate	sent_comp	The farmer knows the customer assassinates	5
181	1	91	unexpected	assemble	sent_comp	The farmer knows the customer assemble	5
182	1	91	expected	assemble	sent_comp	The farmer knows the customer assembles	5
183	1	92	unexpected	assert	sent_comp	The farmer knows the customer assert	5
184	1	92	expected	assert	sent_comp	The farmer knows the customer asserts	5
185	1	93	unexpected	assess	sent_comp	The farmer knows the customer assess	5
186	1	93	expected	assess	sent_comp	The farmer knows the customer assesses	5
187	1	94	unexpected	assign	sent_comp	The farmer knows the customer assign	5
188	1	94	expected	assign	sent_comp	The farmer knows the customer assigns	5
189	1	95	unexpected	assimilate	sent_comp	The farmer knows the customer assimilate	5
190	1	95	expected	assimilate	sent_comp	The farmer knows the customer assimilates	5
191	1	96	unexpected	assist	sent_comp	The farmer knows the customer assist	5
192	1	96	expected	assist	sent_comp	The farmer knows the customer assists	5
193	1	97	unexpected	assuage	sent_comp	The farmer knows the customer assuage	5
194	1	97	expected	assuage	sent_comp	The farmer knows the customer assuages	5
195	1	98	unexpected	assume	sent_comp	The farmer knows the customer assume	5
196	1	98	expected	assume	sent_comp	The farmer knows the customer assumes	5
197	2	99	unexpected	assure	sent_comp	The authors know the officers assures	5
198	2	99	expected	assure	sent_comp	The authors know the officers assure	5
199	2	100	unexpected	atone	sent_comp	The authors know the officers atones	5
200	2	100	expected	atone	sent_comp	The authors know the officers atone	5
201	2	101	unexpected	attach	sent_comp	The authors know the officers attaches	5
202	2	101	expected	attach	sent_comp	The authors know the officers attach	5
203	2	102	unexpected	attack	sent_comp	The authors know the officers attacks	5
204	2	102	expected	attack	sent_comp	The authors know the officers attack	5
205	2	103	unexpected	attain	sent_comp	The authors know the officers attains	5
206	2	103	expected	attain	sent_comp	The authors know the officers attain	5
207	2	104	unexpected	attempt	sent_comp	The authors know the officers attempts	5
208	2	104	expected	attempt	sent_comp	The authors know the officers attempt	5
209	2	105	unexpected	attend	sent_comp	The authors know the officers attends	5
210	2	105	expected	attend	sent_comp	The authors know the officers attend	5
211	2	106	unexpected	attention	sent_comp	The authors know the officers attentions	5
212	2	106	expected	attention	sent_comp	The authors know the officers attention	5
213	2	107	unexpected	attest	sent_comp	The authors know the officers attests	5
214	2	107	expected	attest	sent_comp	The authors know the officers attest	5
215	2	108	unexpected	attract	sent_comp	The authors know the officers attracts	5
216	2	108	expected	attract	sent_comp	The authors know the officers attract	5
217	2	109	unexpected	attribute	sent_comp	The authors know the officers attributes	5
218	2	109	expected	attribute	sent_comp	The authors know the officers attribute	5
219	2	110	unexpected	auction	sent_comp	The authors know the officers auctions	5
220	2	110	expected	auction	sent_comp	The authors know the officers auction	5
221	2	111	unexpected	audition	sent_comp	The authors know the officers auditions	5
222	2	111	expected	audition	sent_comp	The authors know the officers audition	5
223	2	112	unexpected	audit	sent_comp	The authors know the officers audits	5
224	2	112	expected	audit	sent_comp	The authors know the officers audit	5
225	2	113	unexpected	augment	sent_comp	The authors know the officers augments	5
226	2	113	expected	augment	sent_comp	The authors know the officers augment	5
227	2	114	unexpected	authorize	sent_comp	The authors know the officers authorizes	5
228	2	114	expected	authorize	sent_comp	The authors know the officers authorize	5
229	2	115	unexpected	autograph	sent_comp	The authors know the officers autographs	5
230	2	115	expected	autograph	sent_comp	The authors know the officers autograph	5
231	2	116	unexpected	average	sent_comp	The authors know the officers averages	5
232	2	116	expected	average	sent_comp	The authors know the officers average	5
233	2	117	unexpected	avert	sent_comp	The authors know the officers averts	5
234	2	117	expected	avert	sent_comp	The authors know the officers avert	5
235	2	118	unexpected	avoid	sent_comp	The authors know the officers avoids	5
236	2	118	expected	avoid	sent_comp	The authors know the officers avoid	5
237	2	119	unexpected	await	sent_comp	The authors know the officers awaits	5
238	2	119	expected	await	sent_comp	The authors know the officers await	5
239	2	120	unexpected	backfire	sent_comp	The authors know the officers backfires	5
240	2	120	expected	backfire	sent_comp	The authors know the officers backfire	5
241	2	121	unexpected	back	sent_comp	The authors know the officers backs	5
242	2	121	expected	back	sent_comp	The authors know the officers back	5
243	2	122	unexpected	bail	sent_comp	The authors know the officers bails	5
244	2	122	expected	bail	sent_comp	The authors know the officers bail	5
245	2	123	unexpected	balance	sent_comp	The authors know the officers balances	5
246	2	123	expected	balance	sent_comp	The authors know the officers balance	5
247	2	124	unexpected	balk	sent_comp	The authors know the officers balks	5
248	2	124	expected	balk	sent_comp	The authors know the officers balk	5
249	2	125	unexpected	balloon	sent_comp	The authors know the officers balloons	5
250	2	125	expected	balloon	sent_comp	The authors know the officers balloon	5
