token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.5494230389595032	0.864010751247406
surgeon	1	surgeons	1	bert-base-cased	bert-base-cased	False	0.001445825444534421	9.433891296386719
##s	1	surgeons	1	bert-base-cased	bert-base-cased	False	0.06726469099521637	3.8940067291259766
p	1	polish	2	bert-base-cased	bert-base-cased	False	0.0007388886297121644	10.402355194091797
##olis	1	polish	2	bert-base-cased	bert-base-cased	False	0.000505412754137069	10.950250625610352
##h	1	polish	2	bert-base-cased	bert-base-cased	False	0.5682452917098999	0.8154141902923584
and	1	and	3	bert-base-cased	bert-base-cased	False	0.33895036578178406	1.5608539581298828
abandon	1	abandons	4	bert-base-cased	bert-base-cased	False	6.634733836108353e-06	17.20153045654297
##s	1	abandons	4	bert-base-cased	bert-base-cased	False	2.749159193626838e-06	18.472578048706055
The	2	The	0	bert-base-cased	bert-base-cased	False	0.5872534513473511	0.7679447531700134
surgeon	2	surgeons	1	bert-base-cased	bert-base-cased	False	3.521263715811074e-05	14.793547630310059
##s	2	surgeons	1	bert-base-cased	bert-base-cased	False	0.16479437053203583	2.6012611389160156
p	2	polish	2	bert-base-cased	bert-base-cased	False	0.00043503890628926456	11.1665678024292
##olis	2	polish	2	bert-base-cased	bert-base-cased	False	0.0003347541205585003	11.544610977172852
##h	2	polish	2	bert-base-cased	bert-base-cased	False	0.988521933555603	0.016655119135975838
and	2	and	3	bert-base-cased	bert-base-cased	False	0.7169148921966553	0.480126291513443
abandon	2	abandon	4	bert-base-cased	bert-base-cased	False	1.8107432424585568e-06	19.074987411499023
The	3	The	0	bert-base-cased	bert-base-cased	False	0.15856042504310608	2.656895399093628
surgeon	3	surgeons	1	bert-base-cased	bert-base-cased	False	7.378812733804807e-05	13.726251602172852
##s	3	surgeons	1	bert-base-cased	bert-base-cased	False	0.022377435117959976	5.4818115234375
p	3	polish	2	bert-base-cased	bert-base-cased	False	0.0002455312933307141	11.991805076599121
##olis	3	polish	2	bert-base-cased	bert-base-cased	False	0.007758576888591051	7.0099921226501465
##h	3	polish	2	bert-base-cased	bert-base-cased	False	0.10185454785823822	3.2954177856445312
and	3	and	3	bert-base-cased	bert-base-cased	False	0.6753578186035156	0.5662760138511658
a	3	abates	4	bert-base-cased	bert-base-cased	False	0.00018076015112455934	12.433635711669922
##bate	3	abates	4	bert-base-cased	bert-base-cased	False	0.0011076545342803001	9.818276405334473
##s	3	abates	4	bert-base-cased	bert-base-cased	False	2.2861099751025904e-06	18.73867416381836
The	4	The	0	bert-base-cased	bert-base-cased	False	0.15522262454032898	2.687589168548584
surgeon	4	surgeons	1	bert-base-cased	bert-base-cased	False	8.521064592059702e-05	13.518607139587402
##s	4	surgeons	1	bert-base-cased	bert-base-cased	False	0.031488265842199326	4.989041805267334
p	4	polish	2	bert-base-cased	bert-base-cased	False	0.00011795042519224808	13.049531936645508
##olis	4	polish	2	bert-base-cased	bert-base-cased	False	0.0020847353152930737	8.905920028686523
##h	4	polish	2	bert-base-cased	bert-base-cased	False	0.9908455014228821	0.013267973437905312
and	4	and	3	bert-base-cased	bert-base-cased	False	0.8510453701019287	0.23269200325012207
a	4	abate	4	bert-base-cased	bert-base-cased	False	2.296250613653683e-06	18.732288360595703
##bate	4	abate	4	bert-base-cased	bert-base-cased	False	6.663894600933418e-05	13.873274803161621
The	5	The	0	bert-base-cased	bert-base-cased	False	0.1884261965751648	2.407928466796875
surgeon	5	surgeons	1	bert-base-cased	bert-base-cased	False	7.705992175033316e-05	13.663660049438477
##s	5	surgeons	1	bert-base-cased	bert-base-cased	False	0.07227662950754166	3.7903270721435547
p	5	polish	2	bert-base-cased	bert-base-cased	False	0.000379037344828248	11.365372657775879
##olis	5	polish	2	bert-base-cased	bert-base-cased	False	0.005860799923539162	7.414686679840088
##h	5	polish	2	bert-base-cased	bert-base-cased	False	0.4808361828327179	1.056382656097412
and	5	and	3	bert-base-cased	bert-base-cased	False	0.6000755429267883	0.7367839813232422
a	5	abides	4	bert-base-cased	bert-base-cased	False	0.00018076015112455934	12.433635711669922
##bide	5	abides	4	bert-base-cased	bert-base-cased	False	0.0004731155640911311	11.045519828796387
##s	5	abides	4	bert-base-cased	bert-base-cased	False	2.121150600942201e-06	18.846721649169922
The	6	The	0	bert-base-cased	bert-base-cased	False	0.12870094180107117	2.9579055309295654
surgeon	6	surgeons	1	bert-base-cased	bert-base-cased	False	5.966308162896894e-05	14.032801628112793
##s	6	surgeons	1	bert-base-cased	bert-base-cased	False	0.039660386741161346	4.656157493591309
p	6	polish	2	bert-base-cased	bert-base-cased	False	0.00012154889554949477	13.006175994873047
##olis	6	polish	2	bert-base-cased	bert-base-cased	False	0.001971261342987418	8.986664772033691
##h	6	polish	2	bert-base-cased	bert-base-cased	False	0.9905723929405212	0.013665650971233845
and	6	and	3	bert-base-cased	bert-base-cased	False	0.7414670586585999	0.4315454363822937
a	6	abide	4	bert-base-cased	bert-base-cased	False	2.296250613653683e-06	18.732288360595703
##bide	6	abide	4	bert-base-cased	bert-base-cased	False	1.2659972526307683e-05	16.269365310668945
The	7	The	0	bert-base-cased	bert-base-cased	False	0.31982582807540894	1.6446417570114136
surgeon	7	surgeons	1	bert-base-cased	bert-base-cased	False	2.187299105571583e-05	15.480489730834961
##s	7	surgeons	1	bert-base-cased	bert-base-cased	False	0.060642972588539124	4.043515682220459
p	7	polish	2	bert-base-cased	bert-base-cased	False	0.00032443561940453947	11.5897798538208
##olis	7	polish	2	bert-base-cased	bert-base-cased	False	0.0024621107149869204	8.665888786315918
##h	7	polish	2	bert-base-cased	bert-base-cased	False	0.11260170489549637	3.1506993770599365
and	7	and	3	bert-base-cased	bert-base-cased	False	0.6413812041282654	0.6407460570335388
a	7	abolishes	4	bert-base-cased	bert-base-cased	False	0.00018076015112455934	12.433635711669922
##bol	7	abolishes	4	bert-base-cased	bert-base-cased	False	2.2132448066258803e-05	15.46347713470459
##ishes	7	abolishes	4	bert-base-cased	bert-base-cased	False	0.0002757036127150059	11.824594497680664
The	8	The	0	bert-base-cased	bert-base-cased	False	0.20276138186454773	2.30214524269104
surgeon	8	surgeons	1	bert-base-cased	bert-base-cased	False	7.066928901622305e-06	17.110485076904297
##s	8	surgeons	1	bert-base-cased	bert-base-cased	False	0.11265022307634354	3.1500778198242188
p	8	polish	2	bert-base-cased	bert-base-cased	False	6.214833410922438e-05	13.97392463684082
##olis	8	polish	2	bert-base-cased	bert-base-cased	False	0.0009018028504215181	10.114900588989258
##h	8	polish	2	bert-base-cased	bert-base-cased	False	0.9949949979782104	0.007238788530230522
and	8	and	3	bert-base-cased	bert-base-cased	False	0.6974050402641296	0.5199313163757324
a	8	abolish	4	bert-base-cased	bert-base-cased	False	0.00018076015112455934	12.433635711669922
##bol	8	abolish	4	bert-base-cased	bert-base-cased	False	2.2132448066258803e-05	15.46347713470459
##ish	8	abolish	4	bert-base-cased	bert-base-cased	False	0.9973446726799011	0.0038359565660357475
The	9	The	0	bert-base-cased	bert-base-cased	False	0.36437445878982544	1.4565062522888184
surgeon	9	surgeons	1	bert-base-cased	bert-base-cased	False	0.0001794008567230776	12.444525718688965
##s	9	surgeons	1	bert-base-cased	bert-base-cased	False	0.02234085462987423	5.4841718673706055
p	9	polish	2	bert-base-cased	bert-base-cased	False	0.0006009723292663693	10.700413703918457
##olis	9	polish	2	bert-base-cased	bert-base-cased	False	0.0039383890107274055	7.988178730010986
##h	9	polish	2	bert-base-cased	bert-base-cased	False	0.11623479425907135	3.104886054992676
and	9	and	3	bert-base-cased	bert-base-cased	False	0.6253038048744202	0.6773708462715149
absorb	9	absorbs	4	bert-base-cased	bert-base-cased	False	0.00017215206753462553	12.504029273986816
##s	9	absorbs	4	bert-base-cased	bert-base-cased	False	2.2189415176399052e-06	18.781696319580078
The	10	The	0	bert-base-cased	bert-base-cased	False	0.2602206766605377	1.942192554473877
