token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.8396296501159668	0.252174973487854
farmer	1	farmer	1	bert-base-cased	bert-base-cased	False	0.001952662132680416	9.00034236907959
knows	1	knows	2	bert-base-cased	bert-base-cased	False	0.0005423458642326295	10.848499298095703
the	1	the	3	bert-base-cased	bert-base-cased	False	0.43311890959739685	1.207165002822876
customer	1	customer	4	bert-base-cased	bert-base-cased	False	0.00011298829485895112	13.111538887023926
abandon	1	abandon	5	bert-base-cased	bert-base-cased	False	3.0192076616586405e-10	31.625110626220703
The	2	The	0	bert-base-cased	bert-base-cased	False	0.8983412384986877	0.154664546251297
farmer	2	farmer	1	bert-base-cased	bert-base-cased	False	0.002011984121054411	8.957165718078613
knows	2	knows	2	bert-base-cased	bert-base-cased	False	0.005159877706319094	7.598447322845459
the	2	the	3	bert-base-cased	bert-base-cased	False	0.5037432909011841	0.9892393946647644
customer	2	customer	4	bert-base-cased	bert-base-cased	False	0.00048171135131269693	11.019543647766113
abandon	2	abandons	5	bert-base-cased	bert-base-cased	False	3.9723906297695066e-07	21.26348876953125
##s	2	abandons	5	bert-base-cased	bert-base-cased	False	9.369533654535189e-05	13.38166332244873
The	3	The	0	bert-base-cased	bert-base-cased	False	0.7272297143936157	0.4595169126987457
farmer	3	farmer	1	bert-base-cased	bert-base-cased	False	0.001370306359604001	9.511285781860352
knows	3	knows	2	bert-base-cased	bert-base-cased	False	0.0008404729305766523	10.216510772705078
the	3	the	3	bert-base-cased	bert-base-cased	False	0.5682765245437622	0.8153349161148071
customer	3	customer	4	bert-base-cased	bert-base-cased	False	3.342601121403277e-05	14.868669509887695
a	3	abate	5	bert-base-cased	bert-base-cased	False	1.5133374290599022e-05	16.01190757751465
##bate	3	abate	5	bert-base-cased	bert-base-cased	False	1.5214534414553782e-06	19.32611846923828
The	4	The	0	bert-base-cased	bert-base-cased	False	0.8233909606933594	0.28035053610801697
farmer	4	farmer	1	bert-base-cased	bert-base-cased	False	0.0010289462516084313	9.924616813659668
