token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	1	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	1	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
Ġand	1	 and	3	gpt2	gpt2	False	0.04354878515005112	4.521223545074463
Ġab	1	 abandons	4	gpt2	gpt2	False	0.0005890192114748061	10.729397773742676
and	1	 abandons	4	gpt2	gpt2	False	0.00800239946693182	6.965351581573486
ons	1	 abandons	4	gpt2	gpt2	False	0.9467233419418335	0.07898517698049545
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	2	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	2	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
Ġand	2	 and	3	gpt2	gpt2	False	0.04354878515005112	4.521223545074463
Ġabandon	2	 abandon	4	gpt2	gpt2	False	8.825973054626957e-06	16.789813995361328
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	3	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	3	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
Ġand	3	 and	3	gpt2	gpt2	False	0.04354878515005112	4.521223545074463
Ġab	3	 abates	4	gpt2	gpt2	False	0.0005890192114748061	10.729397773742676
ates	3	 abates	4	gpt2	gpt2	False	0.000862868910189718	10.178570747375488
The	4	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	4	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	4	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
Ġand	4	 and	3	gpt2	gpt2	False	0.04354878515005112	4.521223545074463
Ġab	4	 abate	4	gpt2	gpt2	False	0.0005890192114748061	10.729397773742676
ate	4	 abate	4	gpt2	gpt2	False	0.03292270377278328	4.924773216247559
The	5	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	5	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	5	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
Ġand	5	 and	3	gpt2	gpt2	False	0.04354878515005112	4.521223545074463
Ġab	5	 abides	4	gpt2	gpt2	False	0.0005890192114748061	10.729397773742676
ides	5	 abides	4	gpt2	gpt2	False	0.00021519666188396513	12.182056427001953
The	6	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeons	6	 surgeons	1	gpt2	gpt2	False	7.889114385761786e-06	16.951705932617188
Ġpolish	6	 polish	2	gpt2	gpt2	False	7.434748567902716e-07	20.35921287536621
