	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	gpt2	1	1	1	abandon	obj_rel_no_that	unexpected	The officer the pilot braves abandon	4.545212846096547e-07	4.545212846096547e-07	21.069149017333984	21.069149017333984
1	gpt2	2	1	1	abandon	obj_rel_no_that	expected	The officer the pilot braves abandons	0.3393225749014163	0.3393225749014163	7.627755068087329	7.627755068087329
2	gpt2	3	2	1	abate	obj_rel_no_that	unexpected	The officer the pilot braves abate	0.0008933912599786516	0.0008933912599786516	13.212029933929443	13.212029933929443
3	gpt2	4	2	1	abate	obj_rel_no_that	expected	The officer the pilot braves abates	0.007332760140798152	0.007332760140798152	11.691317796707153	11.691317796707153
4	gpt2	5	3	1	abide	obj_rel_no_that	unexpected	The officer the pilot braves abide	4.2207130235283337e-08	4.2207130235283337e-08	24.49793815612793	24.49793815612793
5	gpt2	6	3	1	abide	obj_rel_no_that	expected	The officer the pilot braves abides	0.0032807618831611515	0.0032807618831611515	12.271859884262085	12.271859884262085
6	gpt2	7	4	1	abolish	obj_rel_no_that	unexpected	The officer the pilot braves abolish	3.2512892378377956e-09	3.2512892378377956e-09	28.19634056091309	28.19634056091309
7	gpt2	8	4	1	abolish	obj_rel_no_that	expected	The officer the pilot braves abolishes	0.0030210249682198296	0.0030210249682198296	15.99405336380005	15.99405336380005
8	gpt2	9	5	1	absorb	obj_rel_no_that	unexpected	The officer the pilot braves absorb	5.083040122144666e-08	5.083040122144666e-08	24.22973251342773	24.22973251342773
9	gpt2	10	5	1	absorb	obj_rel_no_that	expected	The officer the pilot braves absorbs	6.585603955500119e-07	6.585603955500119e-07	20.534181594848636	20.534181594848636
10	gpt2	11	6	1	abuse	obj_rel_no_that	unexpected	The officer the pilot braves abuse	4.262072252458893e-06	4.262072252458893e-06	17.84001350402832	17.84001350402832
11	gpt2	12	6	1	abuse	obj_rel_no_that	expected	The officer the pilot braves abuses	4.261844424036099e-06	4.261844424036099e-06	17.840089797973633	17.840089797973633
12	gpt2	13	7	1	accede	obj_rel_no_that	unexpected	The officer the pilot braves accede	5.932775093240683e-05	5.932775093240683e-05	14.547321319580078	14.547321319580078
13	gpt2	14	7	1	accede	obj_rel_no_that	expected	The officer the pilot braves accedes	0.00020597016191455683	0.00020597016191455683	13.567334175109863	13.567334175109863
14	gpt2	15	8	1	accelerate	obj_rel_no_that	unexpected	The officer the pilot braves accelerate	2.2367691698832463e-08	2.2367691698832463e-08	25.41400909423828	25.41400909423828
15	gpt2	16	8	1	accelerate	obj_rel_no_that	expected	The officer the pilot braves accelerates	0.40116074745196784	0.40116074745196784	10.994823053479196	10.994823053479196
16	gpt2	17	9	1	accept	obj_rel_no_that	unexpected	The officer the pilot braves accept	1.1884661716976552e-06	1.1884661716976552e-06	19.68246841430664	19.68246841430664
17	gpt2	18	9	1	accept	obj_rel_no_that	expected	The officer the pilot braves accepts	6.935359579074429e-06	6.935359579074429e-06	17.137598037719727	17.137598037719727
18	gpt2	19	10	1	access	obj_rel_no_that	unexpected	The officer the pilot braves access	1.0060601198347284e-05	1.0060601198347284e-05	16.600923538208008	16.600923538208008
19	gpt2	20	10	1	access	obj_rel_no_that	expected	The officer the pilot braves accesses	0.00035635867425297364	0.00035635867425297364	13.53790807723999	13.53790807723999
20	gpt2	21	11	1	acclaim	obj_rel_no_that	unexpected	The officer the pilot braves acclaim	3.0727713351552666e-07	3.0727713351552666e-07	21.633956909179688	21.633956909179688
21	gpt2	22	11	1	acclaim	obj_rel_no_that	expected	The officer the pilot braves acclaims	0.0011477974179712079	0.0011477974179712079	15.200532913208008	15.200532913208008
22	gpt2	23	12	1	accommodate	obj_rel_no_that	unexpected	The officer the pilot braves accommodate	9.741690121245484e-08	9.741690121245484e-08	23.29125213623047	23.29125213623047
23	gpt2	24	12	1	accommodate	obj_rel_no_that	expected	The officer the pilot braves accommodates	0.27343531354267725	0.27343531354267725	9.878294348716736	9.878294348716736
24	gpt2	25	13	1	accomodate	obj_rel_no_that	unexpected	The officer the pilot braves accomodate	0.254348375592599	0.254348375592599	7.403693113825284	7.403693113825284
