	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	bert-base-cased	1	1	1	abandon	vp_coord	unexpected	The surgeons polish and abandons	4.691946514867595e-06	4.691946514867595e-06	17.83705425262451	17.83705425262451
1	bert-base-cased	2	1	1	abandon	vp_coord	expected	The surgeons polish and abandon	1.8107432424585568e-06	1.8107432424585568e-06	19.074987411499023	19.074987411499023
2	bert-base-cased	3	2	1	abate	vp_coord	unexpected	The surgeons polish and abates	0.0004302335984599675	0.0004302335984599675	13.663528760274252	13.663528760274252
3	bert-base-cased	4	2	1	abate	vp_coord	expected	The surgeons polish and abate	3.446759831149393e-05	3.446759831149393e-05	16.302781581878662	16.302781581878662
4	bert-base-cased	5	3	1	abide	vp_coord	unexpected	The surgeons polish and abides	0.0002186656219388474	0.0002186656219388474	14.108625729878744	14.108625729878744
5	bert-base-cased	6	3	1	abide	vp_coord	expected	The surgeons polish and abide	7.478111569980683e-06	7.478111569980683e-06	17.500826835632324	17.500826835632324
6	bert-base-cased	7	4	1	abolish	vp_coord	unexpected	The surgeons polish and abolishes	0.00015953207063525295	0.00015953207063525295	13.240569114685059	13.240569114685059
7	bert-base-cased	8	4	1	abolish	vp_coord	expected	The surgeons polish and abolish	0.33251585509303067	0.33251585509303067	9.30031626764685	9.30031626764685
8	bert-base-cased	9	5	1	absorb	vp_coord	unexpected	The surgeons polish and absorbs	8.718550452611995e-05	8.718550452611995e-05	15.642862796783449	15.642862796783449
9	bert-base-cased	10	5	1	absorb	vp_coord	expected	The surgeons polish and absorb	1.763820728228893e-05	1.763820728228893e-05	15.790936470031738	15.790936470031738
10	bert-base-cased	11	6	1	abuse	vp_coord	unexpected	The surgeons polish and abuses	2.184177446906688e-06	2.184177446906688e-06	18.80447769165039	18.80447769165039
11	bert-base-cased	12	6	1	abuse	vp_coord	expected	The surgeons polish and abuse	1.5108081242942715e-05	1.5108081242942715e-05	16.014320373535156	16.014320373535156
12	bert-base-cased	13	7	1	accede	vp_coord	unexpected	The surgeons polish and accedes	0.0035343715736075617	0.0035343715736075617	11.678783655166626	11.678783655166626
13	bert-base-cased	14	7	1	accede	vp_coord	expected	The surgeons polish and accede	0.00071557917620637	0.00071557917620637	12.890515645345053	12.890515645345053
14	bert-base-cased	15	8	1	accelerate	vp_coord	unexpected	The surgeons polish and accelerates	3.079932611171898e-05	3.079932611171898e-05	16.71162509918213	16.71162509918213
15	bert-base-cased	16	8	1	accelerate	vp_coord	expected	The surgeons polish and accelerate	1.2027999218844343e-06	1.2027999218844343e-06	19.665172576904297	19.665172576904297
16	bert-base-cased	17	9	1	accept	vp_coord	unexpected	The surgeons polish and accepts	4.807399704986892e-07	4.807399704986892e-07	20.98823928833008	20.98823928833008
17	bert-base-cased	18	9	1	accept	vp_coord	expected	The surgeons polish and accept	2.3382142899208706e-05	2.3382142899208706e-05	15.384233474731444	15.384233474731444
18	bert-base-cased	19	10	1	access	vp_coord	unexpected	The surgeons polish and accesses	1.4700756310048746e-05	1.4700756310048746e-05	16.05790662765503	16.05790662765503
