token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeon	1	 surgeon	1	gpt2	gpt2	False	1.9858138330164365e-05	15.61991024017334
Ġthat	1	 that	2	gpt2	gpt2	False	0.0025663881096988916	8.60604476928711
Ġthe	1	 the	3	gpt2	gpt2	False	0.004351739771664143	7.844192028045654
Ġauthors	1	 authors	4	gpt2	gpt2	False	0.0006922587053850293	10.496400833129883
Ġdamp	1	 dampen	5	gpt2	gpt2	False	1.3097729834044003e-07	22.864179611206055
en	1	 dampen	5	gpt2	gpt2	False	0.03564292937517166	4.810240268707275
Ġabandon	1	 abandon	6	gpt2	gpt2	False	1.3639651115227025e-06	19.483760833740234
The	2	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeon	2	 surgeon	1	gpt2	gpt2	False	1.9858138330164365e-05	15.61991024017334
Ġthat	2	 that	2	gpt2	gpt2	False	0.0025663881096988916	8.60604476928711
Ġthe	2	 the	3	gpt2	gpt2	False	0.004351739771664143	7.844192028045654
Ġauthors	2	 authors	4	gpt2	gpt2	False	0.0006922587053850293	10.496400833129883
Ġdamp	2	 dampen	5	gpt2	gpt2	False	1.3097729834044003e-07	22.864179611206055
en	2	 dampen	5	gpt2	gpt2	False	0.03564292937517166	4.810240268707275
Ġab	2	 abandons	6	gpt2	gpt2	False	2.51622168434551e-05	15.27838134765625
and	2	 abandons	6	gpt2	gpt2	False	0.007956565357744694	6.973638534545898
ons	2	 abandons	6	gpt2	gpt2	False	0.9933773875236511	0.009586210362613201
The	3	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeon	3	 surgeon	1	gpt2	gpt2	False	1.9858138330164365e-05	15.61991024017334
Ġthat	3	 that	2	gpt2	gpt2	False	0.0025663881096988916	8.60604476928711
Ġthe	3	 the	3	gpt2	gpt2	False	0.004351739771664143	7.844192028045654
Ġauthors	3	 authors	4	gpt2	gpt2	False	0.0006922587053850293	10.496400833129883
Ġdamp	3	 dampen	5	gpt2	gpt2	False	1.3097729834044003e-07	22.864179611206055
en	3	 dampen	5	gpt2	gpt2	False	0.03564292937517166	4.810240268707275
Ġab	3	 abate	6	gpt2	gpt2	False	2.51622168434551e-05	15.27838134765625
ate	3	 abate	6	gpt2	gpt2	False	0.0032722759060561657	8.25549030303955
The	4	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeon	4	 surgeon	1	gpt2	gpt2	False	1.9858138330164365e-05	15.61991024017334
Ġthat	4	 that	2	gpt2	gpt2	False	0.0025663881096988916	8.60604476928711
Ġthe	4	 the	3	gpt2	gpt2	False	0.004351739771664143	7.844192028045654
Ġauthors	4	 authors	4	gpt2	gpt2	False	0.0006922587053850293	10.496400833129883
Ġdamp	4	 dampen	5	gpt2	gpt2	False	1.3097729834044003e-07	22.864179611206055
en	4	 dampen	5	gpt2	gpt2	False	0.03564292937517166	4.810240268707275
Ġab	4	 abates	6	gpt2	gpt2	False	2.51622168434551e-05	15.27838134765625
ates	4	 abates	6	gpt2	gpt2	False	0.011069797910749912	6.497227191925049
The	5	The	0	gpt2	gpt2	False	1.0	0.0
Ġsurgeon	5	 surgeon	1	gpt2	gpt2	False	1.9858138330164365e-05	15.61991024017334
Ġthat	5	 that	2	gpt2	gpt2	False	0.0025663881096988916	8.60604476928711
Ġthe	5	 the	3	gpt2	gpt2	False	0.004351739771664143	7.844192028045654
Ġauthors	5	 authors	4	gpt2	gpt2	False	0.0006922587053850293	10.496400833129883
Ġdamp	5	 dampen	5	gpt2	gpt2	False	1.3097729834044003e-07	22.864179611206055
