	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	bert-base-cased	1	1	1	abandon	obj_rel_no_that	unexpected	The officer the pilot braves abandon	8.36918712110446e-09	8.36918712110446e-09	26.83226585388184	26.83226585388184
1	bert-base-cased	2	1	1	abandon	obj_rel_no_that	expected	The officer the pilot braves abandons	0.0001020999261527177	0.0001020999261527177	13.297131061553955	13.297131061553955
2	bert-base-cased	3	2	1	abate	obj_rel_no_that	unexpected	The officer the pilot braves abate	8.745746754353197e-05	8.745746754353197e-05	15.795992374420166	15.795992374420166
3	bert-base-cased	4	2	1	abate	obj_rel_no_that	expected	The officer the pilot braves abates	0.007993330258614128	0.007993330258614128	11.553163846333822	11.553163846333822
4	bert-base-cased	5	3	1	abide	obj_rel_no_that	unexpected	The officer the pilot braves abide	8.764380640964693e-05	8.764380640964693e-05	15.659172534942627	15.659172534942627
5	bert-base-cased	6	3	1	abide	obj_rel_no_that	expected	The officer the pilot braves abides	0.00801073134789473	0.00801073134789473	10.792963027954102	10.792963027954102
6	bert-base-cased	7	4	1	abolish	obj_rel_no_that	unexpected	The officer the pilot braves abolish	0.008617630770350103	0.008617630770350103	12.801060676574707	12.801060676574707
7	bert-base-cased	8	4	1	abolish	obj_rel_no_that	expected	The officer the pilot braves abolishes	0.02780245663466017	0.02780245663466017	11.172490437825521	11.172490437825521
8	bert-base-cased	9	5	1	absorb	obj_rel_no_that	unexpected	The officer the pilot braves absorb	8.433005405095172e-10	8.433005405095172e-10	30.143234252929688	30.143234252929688
9	bert-base-cased	10	5	1	absorb	obj_rel_no_that	expected	The officer the pilot braves absorbs	4.475001992432226e-05	4.475001992432226e-05	15.676909923553467	15.676909923553467
10	bert-base-cased	11	6	1	abuse	obj_rel_no_that	unexpected	The officer the pilot braves abuse	1.8611278074232014e-09	1.8611278074232014e-09	29.00117492675781	29.00117492675781
11	bert-base-cased	12	6	1	abuse	obj_rel_no_that	expected	The officer the pilot braves abuses	1.2683179839712013e-08	1.2683179839712013e-08	26.23250770568848	26.23250770568848
12	bert-base-cased	13	7	1	accede	obj_rel_no_that	unexpected	The officer the pilot braves accede	0.007946596535860563	0.007946596535860563	16.14545249938965	16.14545249938965
13	bert-base-cased	14	7	1	accede	obj_rel_no_that	expected	The officer the pilot braves accedes	0.004674005048173024	0.004674005048173024	13.008679986000061	13.008679986000061
14	bert-base-cased	15	8	1	accelerate	obj_rel_no_that	unexpected	The officer the pilot braves accelerate	2.7134128277594982e-11	2.7134128277594982e-11	35.10110092163086	35.10110092163086
15	bert-base-cased	16	8	1	accelerate	obj_rel_no_that	expected	The officer the pilot braves accelerates	4.377235654828837e-06	4.377235654828837e-06	19.245850563049316	19.245850563049316
16	bert-base-cased	17	9	1	accept	obj_rel_no_that	unexpected	The officer the pilot braves accept	1.4629832456591885e-08	1.4629832456591885e-08	26.026512145996094	26.026512145996094
