	model	sentid	pairid	contextid	lemma	condition	comparison	sentence	probsum	probmean	surpsum	surpmean
0	gpt2	1	1	1	abandon	subj_rel	unexpected	The senator that slumps the consultant abandon	2.1487414869625357e-07	2.1487414869625357e-07	22.15000534057617	22.15000534057617
1	gpt2	2	1	1	abandon	subj_rel	expected	The senator that slumps the consultant abandons	0.4312862318923483	0.4312862318923483	5.760611058290427	5.760611058290427
2	gpt2	3	2	1	abate	subj_rel	unexpected	The senator that slumps the consultant abate	8.399716352864564e-05	8.399716352864564e-05	14.127782821655273	14.127782821655273
3	gpt2	4	2	1	abate	subj_rel	expected	The senator that slumps the consultant abates	0.0018823553782567456	0.0018823553782567456	11.7912015914917	11.7912015914917
4	gpt2	5	3	1	abide	subj_rel	unexpected	The senator that slumps the consultant abide	1.2990585673833266e-07	1.2990585673833266e-07	22.87602996826172	22.87602996826172
5	gpt2	6	3	1	abide	subj_rel	expected	The senator that slumps the consultant abides	0.0981031823412195	0.0981031823412195	8.935348629951477	8.935348629951477
6	gpt2	7	4	1	abolish	subj_rel	unexpected	The senator that slumps the consultant abolish	2.0880729323380365e-07	2.0880729323380365e-07	22.19132423400879	22.19132423400879
7	gpt2	8	4	1	abolish	subj_rel	expected	The senator that slumps the consultant abolishes	0.43214597173192004	0.43214597173192004	11.176701843738558	11.176701843738558
8	gpt2	9	5	1	absorb	subj_rel	unexpected	The senator that slumps the consultant absorb	5.419355488811561e-07	5.419355488811561e-07	20.81537437438965	20.81537437438965
9	gpt2	10	5	1	absorb	subj_rel	expected	The senator that slumps the consultant absorbs	4.66814242372493e-07	4.66814242372493e-07	21.03064727783203	21.03064727783203
10	gpt2	11	6	1	abuse	subj_rel	unexpected	The senator that slumps the consultant abuse	1.665177842369303e-05	1.665177842369303e-05	15.873964309692385	15.873964309692385
11	gpt2	12	6	1	abuse	subj_rel	expected	The senator that slumps the consultant abuses	2.455242565702065e-06	2.455242565702065e-06	18.63570213317871	18.63570213317871
12	gpt2	13	7	1	accede	subj_rel	unexpected	The senator that slumps the consultant accede	0.000557684859813885	0.000557684859813885	13.302295684814453	13.302295684814453
13	gpt2	14	7	1	accede	subj_rel	expected	The senator that slumps the consultant accedes	0.00027866349773828506	0.00027866349773828506	13.808563232421875	13.808563232421875
14	gpt2	15	8	1	accelerate	subj_rel	unexpected	The senator that slumps the consultant accelerate	1.6414875858572486e-07	1.6414875858572486e-07	22.53849220275879	22.53849220275879
15	gpt2	16	8	1	accelerate	subj_rel	expected	The senator that slumps the consultant accelerates	0.49325615673313905	0.49325615673313905	9.682988660410048	9.682988660410048
16	gpt2	17	9	1	accept	subj_rel	unexpected	The senator that slumps the consultant accept	2.0396892068674788e-05	2.0396892068674788e-05	15.581291198730469	15.581291198730469
17	gpt2	18	9	1	accept	subj_rel	expected	The senator that slumps the consultant accepts	2.2267329768510532e-05	2.2267329768510532e-05	15.4547119140625	15.4547119140625
18	gpt2	19	10	1	access	subj_rel	unexpected	The senator that slumps the consultant access	4.716404146165587e-05	4.716404146165587e-05	14.371953010559082	14.371953010559082
19	gpt2	20	10	1	access	subj_rel	expected	The senator that slumps the consultant accesses	0.004225233571560228	0.004225233571560228	10.633390426635742	10.633390426635742
20	gpt2	21	11	1	acclaim	subj_rel	unexpected	The senator that slumps the consultant acclaim	1.2266212934264331e-06	1.2266212934264331e-06	19.63687896728516	19.63687896728516
